file_name,category,ground_truth,ocr_tesseract
0074.jpg,fancy,"ZERO WASTE FUTURE FESTIVAL Null Verschwendung. Volles Programm. 16. November 2024 13:00–18:00 Uhr NochMall, Berlin-Reinickendorf Komm vorbei!","Null Verschwendung.
Volles Programm.

16. November 2024
13:00—18:00 Uhr
NochMall, Berlin-Reinickendorf

Komm
vorbei!"
0075.jpg,fancy,"My Heart is a Kinderdisco KINDERDISCO Friday 26 APRIL 14:00 - 19:30 ://About Blank - S-Bahn Ostkreuz DJs: Robert Owens, Manuel Bürger ALL AGES","‘ _:Ilhb°°ﬁßlunä-sßqhn Ö$tKrtvl
DJS:R°'°%G#E eNf, Manvel ür"
0078.png,fancy,LLEWELLYN LIVE SARA MILLER B2B KEV SHERIDAN KARETE BU JESSAMINE live at robert johnson running back riotvan permanent vacation maeve institut für zukunft drive g-edit ://about blank BORN WITH A NERVOUS BREAKDOWN ://about blank sat 6.5.2023 2 pm,"LLEWELLYN lr atrobertjchnson runningback  riobven
SARA MILLER »# KEV SHERIDAN
KARETE BU institut fürzukunfe _ driv
JESSAMINE ‚ebout blank

://about blank sat 6.5.2023 2pm"
0080.jpg,fancy,"Für Demokratie und Menschenrechte: SONN TAGS DEMO 18. Februar 2024, 17:30 Uhr Dornbirn Marktplatz Zeit aufzustehen: gegen Gedankengut, das die Demokratie zersetzt, und für das Gemeinsame in der Zivilgesellschaft, Solidarität und Mitmenschlichkeit. REDEBEITRÄGE Werner Dreier – Historiker, ehemaliger Leiter von erinnern.at, Sophia Hagleitner und Sophia Simon – Fridays for Future, Hanno Loewy – Jüdisches Museum Hohenems, Gerhild Steinbuch – HYDRA (Autor*inneninitiative gegen die europäische Rechte) MUSIK Andreas Paragioudakis VERANSTALTER Vorarlberger Plattform für Menschenrechte, das Bündnis aus 40 Organisationen: unter anderem: Menschenrechts- at","das Gemeinsame® in
So\\dal'\tät und Mit'

VERANSTALTER
gür Menschen!

Für Demokratie und Menscnemeu..

$ 0

MO

REDEBEITRÄGE Werner DI Dreier
Historiker, ® ehemaliger r Leiter von
erinnerN-. ‚at, ophia Ha‘ jagleitner und
Ssophia simon - Fridays for Future,
Hanno Loewy - _ Jüdisches Museum
HohenemS, Gerhild Steinbuch -
‚utor*inn! en\ nitiative
gegen die europä\ b Rechte)

MUSIK Andreas Parug\oudak\s
UNTERSTD‘\'IT oN

A0 Orgln\slﬂ ‚jonen:
—— _ka al"
0081.jpg,fancy,"WELCOM TO THE :// KINDERDISCO Musik + Tanz DJ-Workshop Pizza + Würstchen Baustellenstelle Kinderwagenparkplatz + Wickelstation Kreativ-Mobil Kaffee + Kuchen Mal- und Spray-Workshop Kinderschminken Fr 21·04·23 14–19 Uhr ://about blank markgrafendamm 24c, 10245 berlin am s-bhf ostkreuz","<w> W A

ME
Musik + Tanz Kaffe + Kuchen 14-19 Uhr
DJI-Workshop -
k Mal- und Spray-Workshop ://about blank
W Hen Kinderschminken markgra fnd mm 2;/ t7/‘0245 berlin"
0082.jpg,fancy,"Demo Sa, 24.2. 14h Wrangelkiez am Platz ohne Namen Falckensteinst. 1A Der Görli bleibt auf! Bündnis Görli Zaunfrei","5a 24.2. 14h
1"
0086.jpg,fancy,Bürgerinitiative EINEN STATT SPALTEN Soll das zu meiner neuen Normalität werden !? nächste Kundgebung: 08.08. 16-18 Uhr SAMSTAG STIFTSPLATZ Kaiserslautern,
0089.jpeg,fancy,NEUER ORT: FRIEDRICHSPLATZ KASSEL VOR DEM FRIDERICIANUM KUNDGEBUNG & AUFZUG Grundrechte gelten! MIT GASTREDNER HERMANN PLOPPA 15. JANUAR 2022 15:30 UHR,"KUNDGEBUNG &
AUFZUG

gelten!

15. JANUAR 2022
15:30 UHR

MIT GASTREDNER
HERMANN PLOPPA"
0090.jpeg,fancy,"""Wir werden ALLE da sein!"" WORLD FREEDOM DAY Die Welt steht auf Auch Fulda macht dicht! ALLE INITIATIVEN & ORGANISATIONEN WELTWEIT - GEMEINSAM! UM 12:00 UHR LANDESZEIT! MAGDEBURG 20.11.2021 12:00 - 16:00 UHR LIVESTREAMS AUS ALLER WELT","; «é%;$
*“3:;;Q‚ö°f’
WORLD FREEDOM
DAY

J>c'e W@[Ü 5Ü@‘ßtf

NITTÄATIVEN SCORGANISATIONEN
WELTWEIT: - GEMEINSÄM!
UM 12:00 UHR LANDESZEIT!

' MAGDEBURG

DE,

«“"
0091.jpg,fancy,mit Mobile Diskothek VERITAS 27. Bike & Rock Festival Limberg zwischen Cottbus und Vetschau 08. - 11. August 2024 immer am 2. August Wochenende Limited Booze Boys BLIND BANKERS Bullshit Rock’n’Roll aus Berlin NOBODY Infos: brf-limberg.de,
0093.jpg,photo,"KIEZKLUB Rathaus Johannisthal Sterndamm 102, 12487 BERLIN im Innenhof SOMMERFEST Sa 3. Sept. 14–19 Uhr INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN, KINDERBASTELN, HÜPFBURG, TEDDYAMBULANZ GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK ESSEN UND TRINKEN DUO CHARLSON & LUIS (BRA) SAMBA, CHORO, BOSA NOVA HARTMUT HAKER VON TANZBAR BIS SWINGEND RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE JEDE MENGE KINDERLIEDER DIE HOBBYSTEPPER, MONIKAS TANZMIX, DJ DER CHOR DER FRÖHLICHEN SÄNGER VON JOHANNISTHAL Der Eintritt ist frei.",".\u- P} 20 ST}
YLUD Ralfldus JUNAVINHSTNAL

y X ı
‘?_x 4537 DF !lk

INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN,
KINDERBASTELN, HÜPFBURG, TEDDYAMBULANZ

GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK
ESSEN UND TRINKEN n v

DUO CHARLSON & LUIS (BRA) SAMBA, CHORO, BOSA NOVA
HARTMUT HAKER VON TANZBAR BIS SWINGEND

RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE /
JEDE MENGE KINDERLIEDER ‚ j

dd / j x
DIE HOBBYSTEPPER, MONIKAS TANZMIX, DJ N_"" '
DER CHOR DER FRÖHLICHEN SÄNGER SE ®
VON JOHANNISTHAL k

CAEMNTRINSTICREN

v x __ aun M S"
0094.jpg,photo,"Einladung zur Trauerfeier für unsere geliebte Demokratie *1949 - 2020 26.04.2020 12:00 - 19:00 Mariannenplatz Wir bitten alle Trauergäste nur einzeln oder zu zweit zu kommen und protest- taugliche Schilder, Transparente und Plakate zur Niederlegung mitzubringen. Wir freuen uns auf Eure Trauerreden. Anlage und Mikrofon sind vor Ort. www.Aktion-Eigensinn.net","/ *- 26.04.2020

‚ 12:00 - 19:00
Mavxiannenplatz }
oder zu zweit zu kommen und pratest-

taugliche Schilder, Transparente und

UAnlage und Mikrofen sind vor Ont,"
0095.jpg,photo,"Bohemian Strawberry 🍓 & AmSTARt präsentieren: ICH BRAUCHE EINE GENIE VOL. 15 POPkultur, Feminismus, Change und so ... Songbook Releaseparty LIVE: KATRIN ACHINGER LESEPERFORMANCES & 1-SONG-SETS: ANNETTE BENJAMIN (HANS-A-PLAST), BERNADETTE LA HENGST, DAYN, DIE SUPERERBIN, ELKE BRAUWEILER, FAULENZA, FELINE & STRANGE, HANSJANA, LYDIA DAHER, MALONDA, MARIAMA SAFI, TOTE CRACKHUREN IM KOFFERRAUM MATCHING OUTFITS THE DOCTORELLA BABSI TOLLWUT 12.8. :://aboutblank","POPKI
ab )PKULTUR, FEMINISMUS, CHANGE UND SO -.-
;

;S-A-PLAST),
A =

A==
»
\ E l

Saneeset O Ea"
0096.jpg,photo,Schmeiß dein Ego weg und FEIER WAS DU LIEBST Für René 25. April Volksbühne am Rosa-Luxemburg-Platz,"Era _

Schmeiß dein Ego weg und Schmeiß dein Ego weg und

FürRene 25. April % FürRene 25. April"
0097.jpg,photo,UNTERM TECHNO LIEGT DER PUNK :// ABOUT BLANK The kids are clearly not alright Welche Rolle spielen emanzipatorische Subkultur & Bewegung in Ostdeutschland? POLY▶LUX Veranstaltung 13.12.2024 20 Uhr :// about blank,"clearly
not
alright ,

Welche Rolle spielen ‘

emanzipatorische
Subkultur & Bewegung in
Ostdeutschland ? \

Veranstaltung
13.12.2024 >
20Uhr }

:// about blank"
0098.jpg,photo,"eine benefizveranstaltung von ://about blank und top b3rlin MOVING BEYOND HOPE antinationale amplitude wider die großwetterlage montag, 2. oktober 2023, 18:00 uhr STAAT. NATION. KAPITAL. SCHEISSE. TOP BERLIN . TOP-BERLIN.NET","i SS

eine benefizveranstaltung von ://about blänk und töp b3rlin

u

MOVING
BEYOND
HOPE

antinationale amplitude wider'die großwetterlage

montag, 2.0ktober 2023, 18:00 uhr ‘ ["
0099.jpg,photo,"Vergessene Arbeitskämpfe PUNK Abend Eintritt 8€ Roter Salon in der VOLKSBÜHNE Wann: 29.09., 21 Uhr Wer: EAT LIPSTICK + TOTENWALD arbeitskaempfe@volksbuehne-berlin.de","m m
‘‚„.lu-l‘£'

='_
x"
0100.jpg,photo,FAMILIEN-FLOHMARKT in der Paul-Schneider-Grundschule 25.05.24 10 - 14 Uhr,
0101.jpg,photo,"Freitag, den 28. Mai 2021 um 17 Uhr Stolpersteinverlegung in Alt-Hohenschönhausen Suermondtstraße 46, 13053 Berlin Blume Luise Albers, geb. Chassin, geb. am 22.12.1878 in Smolensk Musikalische Begleitung: Johann-Vincent Slawinski Blume Luise Albers war mit dem deutschen Beamten Steuersekretär Oskar Albers verheiratet. Die Eheschließung erfolgte am 22.12.1913 in Windhuk (Deutsch-Südwest-Afrika) im Standesamt Windhuk mit der Nr. 63. Das Paar lebte in Hohenschönhausen in der Suermondtstraße 46 vorn parterre. Laut Berliner Adressbuch ist der Straßenbezug noch 1927 als Baustelle eingetragen. Suermondt war Mitbegründer der Grunderwerbs- und Baugesellschaft in Hohenschönhausen, welche die Häuser bauen ließ und auch Eigentümer war. Mit der Fertigstellung der Wohnungen bezog das Ehepaar Albers ihre Wohnung im parterre. Die Wohnung bestand aus zwei Stuben und einer Küche. Blume Albers war Hausfrau. Oskar Albers verstarb am 4. Oktober 1940 in der gemeinsamen Wohnung laut Urkunde an einem Gehirnschlag. Frau Luise Albers war danach bis 1943 im Berliner Adressbuch als Mieterin eingetragen ist. Blume Albers musste Zwangsarbeit leisten in den Pankower Heilanstalten. Am 10. September 1943 wurde Blume Luise Albers mit dem 96. Alterstransport von dem Sammellager Große Hamburger Straße 26 nach Theresienstadt deportiert. Drei Monate später, am 18. Dezember 1943 wurde sie von Theresienstadt nach Auschwitz deportiert und dort ermordet.","Suermondtstra|

geb. am 22.12.1878 in Smolensk

Musikalische ng: Johann-Vincent Slawinski

Blume Luise Albers

deutschen Beamten Steu-
ersekretär Oska

ratet. Die Eheschließung
913 in Windhuk (Deutsch-Südwest-Afrika)
indhuk mit der Nr. 63

Das Paar lebte in Hohenschönhausen in der Suermondts

vorn parterre. Laut Berliner Adressbuch ist der Stra
nzug noch 1927 als Baustelle eingetragen.
‚ermondt war Mitbegründer der Grunderwerbs- und

schaft in Hohenschönhausen, welche die Häus

ıch Eigentümer war. Mit der Fertig: n
hnung im parterre, Die Wohnung bestand aus zwei Stuben und
rer Küche. Blume Albers war Hausfrau,

Oskar Albers verstarb am 4. Oktober 1940 in der gemeinsamen Wöhnung laut Urkunde

an einem Gehirnschlag. Frau Luise Albers war danach bis 1943 Im Berliner Adressbuck
Mieterin eingetragen is en

Blume Albers mı wangsarbeit leisten in den Pankower Heimst

Am 10.September 1943 wurde Blume Luise Albers mit dem 96 Allerstransport von dem

Sammellager Große Hambürger Straße 26 nach Theresienstadt d6POrtiert

Drei Monate später, am 18. Dezember 1943 wurde sie von Theresienstadt nach Ausch-

vitz deportiert und dort ermordet.

7in HT-BLICKE 7 w}
UE N —— C®"
0103.jpg,photo,RAUS AUS DER DOSE! 17.05.2020 14–18 Uhr Mariannenplatz Der Rückzug ins Digitale ist keine Alternative! Deine Meinung ist relevant! Kunst ist relevant! Zeigt Eure Künste! Erhebt Eure Stimme! Das Mikrofon steht Euren Reden und Darbietungen offen www.aktion-eigensinn.net,"RAUS AUS DER DOSE!

17.05.2020 14-18 Uhr
Mariannenplatz

Der Rückzug ins Digitale ist keine
Alternative!
. Deine Meinung ist relevant!
> Kunst ist relevant!

Zeigt Eure Künste!
Erhebt Eure Stimme!

Das Mikrofon stel

Euren Reden
Darbietungen offen

www.aktion-€"
0104.jpg,photo,Kiezklub Rathaus Johannisthal Sterndamm 102 WEIHNACHTSBAZAR 3. Dez. 14–19 Uhr Draußen: Glühwein und Gegrilltes Feuertonne und Stockbrot weihnachtliche Livemusik Stände mit interessanten Dingen Drinnen: Bastelstraße Kindertheater aus dem Koffer Filzen,kiezk' u|g*:luu..!ollnnnlctlnl'tundamnl„
0106.jpg,photo,"KEINE QUERFRONT AUF DEM ROSA-LUXEMBURG-PLATZ! ""NICHT OHNE UNS""? – OHNE UNS! Seit nunmehr vier Wochen demonstrieren Neurechte, Verschwörungsideolog*innen und Teile der rechtsradikalen und völkischen Szene auf dem Rosa-Luxemburg-Platz unter dem Banner „Hygienedemo“, organisiert von der „Kommunikationsstelle Demokratischer Widerstand“, deren Initiatoren sich in einem Interview vor dem Reichstag mit wehenden Deutschlandfahnen erklären. Wir rufen deshalb alle antifaschistischen, anarcha-queer-feministischen Menschen zur Verteidigung des Rosa-Luxemburg-Platzes und der Volksbühne auf. Kreativer Kontaktloser Gegenprotest: vor dem Karl Liebknecht Haus um 15 Uhr jeden Samstag und am 1. Mai seid kreativ laut und bunt! Kein Platz für Nazis! #antifaarea V.i.S.d.P.: Karla Krawall, Rosa-Luxemburg Platz 1, 1312 Berlin","KEINE QUERFRONT AUF DEM KOSA-LUXEMBURG-PLATZI

Seit nunmehr vier Wochen demonstrieren Neurechte,
Verschwörungsideolog*innen und Teile der rechtsradikalen und völ-
kischen Szene auf dem Rosa-Luxemburg-Platz unter dem Banner „Hygie-
nedemo“, organisiert von der „Kommunikationsstelle Demokratischer Wi-
derstand“;-deren Initiatoren sich in einem Interview vor dem Reichstag
mit wehenden Deutschlandfahnen erklären. Wir rufen deshalb alle antifa-
schistischen, anarcha-queer-feministischen Menschen zur.Verteidigung
des Rosa-Luxemburg-Platzes und der Volksbühne auf.

| Kreativer Kontaktloser Gegenprotest:
vor dem
Karl Liebknecht Haus

jeden Samstag
und am 1.Mai

seid kreativ Iaut und bunt!"
0108.jpg,photo,VOLKSBÜHNE Jazzanova The Pool Record Release Konzert 30.06.18 Rosa- Luxemburg- Platz,"VOL

Zz};SBUHNE
KOnZert
30.06.18
Rosa-
Luxemburg-
Platz"
0110.jpg,photo,CLUBS. STADT. KLIMAKRIZE. A100 WEGBASSEN! 2.9. 14°°–22°° MARKGRAFENDAMM,"ECBAS 9ENI

NARKGRAFENDAMN"
0111.jpg,photo,"50 JAHRE RUMBLE IN THE JUNGLE Podium: Martin Krauß (Sportjournalist taz) Dr. Michela Wrong (britische Journalistin) Fabian Kunow (Moderation) und anschl. Kinodokumentation When we were Kings (1997) Mo., 25. Nov., 19 Uhr //:about blank, Markgrafendamm 24c, 10245 Berlin www.helle-panke.de Helle Panke ROSA LUXEMBURG STIFTUNG","50 JAHRE
RI pUMBLE IN THE JUNGLE

\ Podium:
/ _ Martin Krauß (Sportjournalist taz)
( — — Dr. Michela Wrong (britische Journalistin)
bian Kunow (Moderation)
nschl.
okumentation When we were Kings (1997)

Nov., 19 Uhr

»fendamm 24c, 10245 Berli"
0112.jpg,photo,"HAUPTSACHE ES KNALLT? NO FUTURE NO DANCEFLOOR. RAVE AUFSTAND ZUM GLOBAL STRIKE. FREITAG, 20.09.19 | 15:00 UHR BERLIN MITTE & ÜBERALL 12:00 UHR FRIDAYS FOR FUTURE RECLAIM CLUB CULTURE","/ [ a

/ NO DA
ZUM GL

UuM

FREITAG, 20.09.19 |_15:00 UHR
S BERLIN MITTE & ÜBERALL

12:00 UHR FRIDAYS FOR FUTURE RECLAIM"
0113.jpg,photo,9. MAI 79. JAHRESTAG DES SIEGES ÜBER NAZIDEUTSCHLAND NIE WIEDER FASCHISMUS! NIE WIEDER KRIEG! DEMONSTRATION / BERLIN 17:30 / S&U-BHF. FRIEDRICHSTR. BEFREIUNG.UND.WIDERSTAND INSTAGRAM: BEFREIUNG.UND.WIDERSTAND,"E WIEDER FASCHISM} JS
NIE WIED R KRIEG! A

MONSIET DEMONSTRATION / BERLIN
ERUI | \

’ ® &$g=\‘/.gklinklß\\sm /

s @ D m
f 173 ‚6 UNDWIDERST a

‘W @ BEFREIUMG

rm WNNERSTAND"
0114.jpg,photo,KEIN RAMMSTEIN VOR GERICHT STATT AUF DIE BÜHNE! 15.07.23 IN BERLIN SA. 15. JULI – 14:30 UHR THEODOR-HEUSS-PLATZ CA. 16:00 UHR – OLYMPIASTADION + MUSIK @keinrammstein_berlin STOMP THE PATRIARCHY,"DA

-PLATZ

HEUSS
OLYMPIASTADION + MUSIK

SA. 15. JULI - 14:30 UHR THEODOR-
CA. 16:00 UHR

.
Y"
0115.jpg,simple,save blank? blank safe! soliparty gegen das klima der angst 16.11.2024 ab 20 Uhr ://about blank I ://,"save blank? blank safe! 16.11.2024 ab 20 Uhr
soliparty gegen das klima der angst :llabout blank"
0116.jpg,simple,"AKTIONSBÜNDNIS KARLSRUHE DEMOKRATIE neu denken! Verschiedene Rede- & Musikbeiträge | Meditation LiveStream https://netzwerk-demokratie.org Familienfreundlich, mit Kinderbereich SAMSTAG 08.08.20 | 12:30–18 Uhr Günther-Klotz Anlage in Karlsruhe Stay Free! Karlsruhe Peace & Love Ettlinger Friedens Gruppe Selber denken, statt denken lassen NETZWERK DEMOKRATIE e.V. QUERDENKEN 721 – Karlsruhe","AKTIONSBÜNDNIS

KARLSRUHE

DEMOKRATIE neu denken!

Verschiedene Rede- & Musikbeiträge | Meditation

LiveStream
emokratie.org

https://netzwerk-d"
0117.jpg,simple,"Bündnis gegen Verdrängung und #Mietenwahnsinn www.mietenwahnsinn.info DIE MIETE IST ZU HOCH! Demo, Samstag 01. Juni 2024 14:00 Uhr Potsdamer Platz","‚ Bündnis gegen Verdrängung und _s:—=

N#MIBIBIIW£IhIISIIIII *
tenw ahnsinn.info |£ ;
@ —
u 8 '
aM

' z>EH

Den Sams?‘ääüi Juni ‚2024
""” ) Uhr Pntsdamerliä"
0118.jpeg,simple,"Willkommenscafé Wir laden alle von Rassismus betroffenen & migrantischen Menschen zum gegenseitigen Kennenlernen in unser Willkommenscafé ein! Hier bekommt ihr einen Einblick in unsere Arbeit und findet heraus, wie ihr mitarbeiten könnt! Rote Lilly, Emser Str. 114, Neukölln Jeden letzten Mittwoch im Monat 19–21 Uhr","Willkommenscuf 8

Wir _ laden _ alle von Rassismus betroffenen &
migrantischen _ Menschen zum _gegenseitigen „
Kennenlernen in unser Willkommenscafe ein!

eAN
G O
S >
‘3

€R L\e"
0119.jpeg,simple,"HÄNDE WEG VON UNSEREM LAND! PALÄSTINA STEHT NICHT ZUM VERKAUF LAUFDEMONSTRATION FÜR PALÄSTINA SAMSTAG, 01.03. UM 13 UHR U-BAHN & S-BAHN ZOOLOGISCHER GARTEN, BERLIN","HÄNDE WEG VON UNSEREM LAND!

PALASTINA
STEHT
NICHT ZUM
VERKAUF

LAUFDEMONSTRATION FÜR PALÄSTINA
SAMSTAG, 01.03. UM 13 UHR

U-BAHN & S-BAHN ZOOLOGISCHER
GARTEN, BERLIN"
0120.jpg,simple,Wahlkampf-Veranstaltung STADTHALLE LEONBERG Römerstraße 110 | 71229 Leonberg 22.01. BEGINN 19 UHR | EINLASS 18 UHR LARS HAISE MARKUS FROHNMAIER TINO CHRUPALLA EMIL SÄNZE DIANA ZIMMER DEUTSCHLAND ZUERST! AfD Landesverband Baden-Württemberg,"Wahlkampf-Veranstaltung
STADTHALLE LEONBERG - semeorenuss en

Römerstraße 110 | 71229 Leonberg

/""4' e

} TINO
RS W |MARKUS mun CHRUPALLA gMIL DIANA
HAISE 'FROHNMAIER1 A SÄNZE ZIMMER

DEUTSCHLAND ZUERST!
— AfD

m  Württemban 1g"
0121.jpg,simple,Zeit für Fans 05.12.2024 Mach dein Foto mit dem Nikolaus Und sicher dir den Adventsrabatt. Auguste-Viktoria-Allee 99  //  13403 Berlin,"p } x
Zeit für Fans A 3 S }

05.12.2024 ; #

Auguste-Viktoria-Allee 99 // 13403 Berlin
; s

N
I
BN"
0122.jpg,simple,"25. APRIL, 2023 20.00 UHR OMAS ON STAGE PERFORMANCES, LIEDER, GEDICHTE... IM CAFÉ KORB Brandstätte 9, 1010 Wien Reservierung erforderlich: jenny@happybusiness.at Omas-on-Stage ist eine Theatergruppe innerhalb der Aktivistinnengruppe OMAS GEGEN RECHTS. In den letzten 3 Jahren sind wir bei zahlreichen Interventionen und Straßentheater, sowie beim Wiener Kultursommer, Demonstrationen und Frauenveranstaltungen aufgetreten. Omas-On-Stage besteht aus 12 Frauen– professionellen Schauspielerinnen und Laiendarstellerinnen. Durch unsere Aktionen beleuchten wir auch die Rolle, die ältere Frauen im politischen Geschehen und in der Gesellschaft spielen und können. Immer auch mit Humor und Ironie! FREIE SPENDE","29. APRIL, 20223 OMAS
20.00 UHR ﬁ'ﬂ
ISTAGE|

PERF[]RMANGES
LIEDER, GEDICHTE.

Omes-on-Stage ist eine Theatergruppe innerhalb

IV der Aktivistinnengruppe OMAS GEGEN RECHTS.

| In den letzen 3 Jahren sind wir bei zahl

n Interventionen und Strassentheater, sowie beim
r Wiener Kultursommer, Demonstrationen und
Frauenveranstaltungen aufgetreten.

Omas-On-Stage besteht aus 12 Frauen- professionellen

® Schauspielerinnen und Laiendarstellerinnen. Durch
Hegn unsere Aktionen beleuchten wir auch die Rolle,
die älterer Frauen im politischen Geschehen und

in der Gesellschaft spielen können.

Immer auch mit Humor und Ironie!
FREIE SPENDE"
0123.jpg,simple,"SOLIDARITÄTSDEMO FÜR DIE UKRAINE Samstag, 5. März 2022 Platz der Menschenrechte, Wien 15 bis 17 Uhr","SOLIDARITÄTSDEMO

FÜR DIE UKRAINE

Samstag, 5. März 2022

Platz der Menschenrechte, Wien
15 bis 17 Uhr"
0124.jpg,simple,#SAVE BRAIN CITY Wissenschaft sichert die Zukunft Berlins 19.12.2024 KUNDGEBUNG 8:30 Uhr vor dem Abgeordnetenhaus Berlin,"Wissenschaft
sichert die Zukunft Berlins

19.12.2024

KUNDGEBUNG

8:30 Uhr vor dem Abgeordnetenhaus Berlin"
0127.jpeg,simple,"Solidarischer Stammtisch Thema: Unser Verständnis vom Patriarchat und unser Umgang damit Diskussion und gemeinsames Essen am Dienstag, 4. März ab 19:00 Uhr im “Maggie” Frankfurter Allee 205","TI

Thema: Unser Verständnis vom ‘l

Diskussion und gemeinsames Essen
am Dienstag, 4. März ab 19:00 Uhr
im “Maggie” Frankfurter Allee 205"
0128.jpg,simple,Transferale Das Wissenschafts- Festival für Klima und Gesundheit Zukunft im Stadtumdrehen 25.09. — 27.09.2024 im Kulturquartier silent green Zukunft findet Stadt Das Hochschulnetzwerk für ein resilientes Berlin,"W Ia . 3
Transferale/ «

\ Y Zukunft im
— Stadtumdrehen

25.09. —
27.09.2024
im Kulturquartier
silent green"
0129.jpg,simple,#BerlinIstKultur DEMO GEGEN DIE KÜRZUNGEN IM KULTURBEREICH! VOLKS BÜHNE AM ROSA-LUXEMBURG-PLATZ 13.11. 10:00 Brandenburger Tor Platz des 18. März,"#BerlinistKultur

GEGEN DIE KÜRZUNGEN IM KULTURBEREICH!

13.11. Brandenburger Tor

10:00 Platz des 18. März"
0130.jpg,simple,NOCH MALL ALLES AUSSER NEU repami Netzwerk Qualitätsreparatur Reparaturtag in der NochMall 19. Oktober 2024 14–18 Uhr Save the date!,"Netzwerk l Qualitätsreparatur
ES AUSSER NEU

Reparaturtag

in der NochMall
19. Oktober 2024

14-18 Uhr .

o m OS&"
0131.jpeg,simple,"GENOCIDE STARTS HERE! KUNDGEBUNG MI, 05.03.2025 12:00 UHR ECKE TAUENTZIENSTR./ MARBURGER STR., 10789 BERLIN GRIEVING DOVES JÜDISCHE STIMME STOP ARMING ISRAEL KEINE WAFFEN FÜR ISRAEL SHUT ELBIT DOWN","\GEN[ICII]E STARTS HERE!

MI, 05.03.2025
12:00 UHR
ECKE TAUENTZIENSTR./
MARBURGER STR., 10789
BERLIN

‚” GRIENG DOVES
E

P
IIIII
öl

WAFFEN"
0132.jpg,simple,DIE CDU IST KEIN GRUND ZUM FEIERN. SOS ANTIFA 23. FEBRUAR · 18 UHR KONRAD ADENAUER HAUS Sea-Watch.org,"DIE CDU IST KEIN GRUND ZUM FEIERN.

23. FEBRUAR :18 UHR
KONRAD ADENAUER HAUS

Sa

n
Sea-Watch.org"
0133.jpg,simple,"KUNDGEBUNG MIT DR. WEBER SAMSTAG 05.09.2020, 14:30 MARBURG ERWIN-PISCATOR-HAUS ÄRZTE FÜR AUFKLÄRUNG","KUNDGEBUNG MIT DR. WEBER
SAMSTAG 05.09.2020,14:30

ERWIN-PISCATUH-HAUS
ÄRZTE FÜR AUFKLÄRUNG \"
0134.jpg,simple,"Antifaschistische Kundgebung GEGEN DIE INSTRUMENTALISIERUNG DES ERINNERNS Montag, 27.05.24 18 Uhr Mahnmal Levetzowstraße Berlin-Moabit","Antifaschistische Kundgebung
GEGEN DIE INSTRUMENTALISIERUNG
DES ERINNERNS

Montag, 27.05.24
18 Uhr

Mahnmal
Levetzowstraße

Berlin-Moabit

© N"
0135.jpg,simple,"Einfache Sprache Kommt zur Demo am 8. März! Wo? S+U Schönhauser Allee Wann? 8. März 2025, 13:00 Uhr Für Feminismus ohne Grenzen! FEMINISM UNLIMITED","Y )

Kı
Kommt zur Demo am 8. März!i
? Wo? S+U Schönhauser Allee””
” Wann? 8 März 2025, 13:00 Uhr/ v"
0136.jpg,simple,GEGEN JEDE NAZI PROPAGANDA! MARTIN SELLNER VON DER STRASSE FEGEN! HEUTE! ★ 27.02. ★ 18:15 UHR Kundgebung an der “Grünen Lampe” Uhlandstraße 51 Widersetzen Berlin,"GEGEN JEDE
NAZI PROPAGANDA !

MARTIN SELLNER VON DER
@ STRASSE FEGEN!
w —

K3

HEUTE! %* 27.02. * 18:15 UHR
Kundgebung an der “Grünen Lampe”
Uhlandstraße 51

Widersetzen Berlin"
0137.jpg,simple,"Omas-on-Stage beim Kultursommer Politischer Aktivismus mit Kunst Samstag, 9. Juli 2022, 18.30 Mortarapark, 1200 Wien Sonntag, 10. Juli 2022, 18.30 Muthsamgasse, 1140 Wien FREIER EINTRITT","Pohtuscher Akt|Vlsmus mit Kunst

Samstag, 9. Juli 2022, 18.30
Mortarapark, 1200 Wien

Sonntag, 10. Juli 2022, 18.30 FREIER EINTRITT
Muthsamgasse, 1140 Wien"
0139.jpg,simple,ZENTRUM KREUZBERG MEHR POLIZEI? NICHTS ZU FEIERN WIR BLEIBEN DABEI: SOZIALE LÖSUNGEN FÜR SOZIALE PROBLEME! KUNDGEBUNG GEGEN DIE ERÖFFNUNGSFEIER DER KOTTI-WACHE 15.02. AB 9:00 KOTTBUSSER TOR WACHE AM KOTTI? NOT WELCOME,"MEHR POLIZEI?
NICHTS ZU FEIERN

- KUNDGEBUNG

GEGEN DIE ERÖFFNUNGSFEIER DER KOTTI-WACHE
15.02. AB 9:00 KOTTBUSSER TOR

WACHE AM KOTTI? NOT WELCOME"
