image,groundtruth_text,ocr_text,CER,WER
0059.jpg,"KIEZ COMEDY smash comedy 8. März, 19 Uhr, KUFA Moabit FLINTA* STAND UP COMEDY BERLIN Sozialraumorientierte Planungskoordination Gefördert durch die Stadtteilkasse","n 8. Sozialraunorientierte HEDY come MÄRZ, 19 UHR, KUFA MOABIT_ FLINTA STAID UP COMEDY Gcfordert durch K comedy EERLIN CYEDY comea s 7 Hotet C",0.7222,1.0
0060.jpg,"POETRY B'N'B DEIN FAST PRIME-TIME POETRY SLAM 26. April 2024, 20.12 Uhr DAS GROSSE FINALE Eine Kooperation von Brakula Kultur in Bramfeld BIM Kulturzentrum auf KulTour","poetry B) B 2 6 Aprit 20 2 4 , 20.12 UAhr Bvalule B{Ms Aprit   2024, das Grosse FInale Eine Kooperation von Kultum_ BIB auf BB 2012",0.6826,0.9615
0061.jpg,Freedom Parade Die Verleihung der roten Clownsnase durch Captain Future an Dr. Drosten 01.10.2020 ab 10:00 Uhr vorm Schloss Bellevue GRAFIK: LASERURCH.DE,Freedom Porade @nDcDrosten 1 8 0l.40.2020 Futre 06 Die Verleihung de roten Clounsnase AO:OOUhr Vorm Schloss Belkvve durch Captain Die Verleihung de roten - 01.40.2020 ab AO:ODUhr Clounsnase 2,0.8562,1.1364
0062.jpg,"B!M Kulturzentrum SEI DABEI! LESECLUB HORIZONTE ERWEITERN WELTEN ERLESEN. LESECLUB Montags von 14.00 – 15.30 Uhr für alle Kinder zwischen 9 und 12 Jahren im Gymnasium Meiendorf, Raum 804, Kreuzbau, Schierenberg 60 Leseklubs Stiftung Lesen GYMNASIUM MEIENDORF LESECLUB MEIENDORF","BIM Kultur 9 DABEi Lesecub 15.30 Uhr für alle Kinder zwischen 9 und 12 Jahren im Gymnasium Meiendorf; Raum 804, Kreuzbau; Schierenberg 60 Als Stiftung Lesen Leseclubs Sei HUIM MEMENDOR G YMNAsIU GY = HJoRiZONTE ERWEITERN M E ENDOR LESECLUB Montags von 14.00 - 15.30 Uhr { WEITENJERLESEN. G Y MNAIS",0.7292,1.0513
0063.jpg,DEMO STOPPT DIE GASLOBBY soziale Klima- und Energiepolitik gegen die European Gas Conference POWER TO THE PEOPLE 28. März 17:30 Uhr Stephansplatz @systemchange.not.climatechange,DEMO STOPPT DIE GASLOBBY soziale Klima- und Energiepolitik gegen die European Gas Conference TOTHE 28. März 17830 Uhr Stephansplatz @systemchange not climatechange FOMER RopLe,0.1638,0.4348
0064.jpg,"KIEZFEST KIEZKLUB Treptow-Kolleg Samstag, 1. Juli 2023 von 14 – 18 Uhr Eröffnung durch Frau Weingart Stellvertretende Bezirksbürgermeisterin und Leiterin der Abteilung Soziales, Arbeit und Teilhabe Es spielt die Combo des Landespolizeiorchesters Brandenburg Die fröhlichen Herbstlerchen erfreuen uns mit ihrem Vortrag Kreistanzgruppe unter Leitung von Monika Kemmnitz Dirk Jüttner erfreut uns als Elvis Presley Kinder- und Erwachsenen-Tanzteam des PSV Olympia Berlin Belly Dance mit „SOURAIA HAGIR“ Eine kostenlose Fahrradkennzeichnung durch den Polizeabschnitt 65, außerdem gibt es noch Mit- mach-Aktionen für Kinder, Seifenblasen mit Ciello, Holzarbeiten, Schwerter basteln mit Marlies, das Kinderschminken mit Farina und Jessica, Malen und Basteln mit Michaela und vieles mehr … Unsere Ehrenamtlichen des KIEZKLUB’s und das Seniorenpflegeheim DOMIZIL verwöhnen sie mit selbstgebackenem Kuchen. Für Ihr leibliches Wohl ist gesorgt.","Samstag; 1.Juli 2023 von 14 = 18 Uhr Eröffnung durch Frau Weingart Dirk Jüttner Stellvertretende Bezirksbürgermeisterin erfreut uns als Elvis Presley und Leiterin der Abteilung Soziales, Arbeit und Teilhabe Kinder- und Erwachsenen-Tanzteam des PSV Olympia Berlin Es spielt die Combo des Landespolizeiorchesters Belly Dance mit wSOURAIA HAGIR"" Brandenburg Eine kostenlose Fahrradkennzeichnung durch den Die fröhlichen Herbstlerchen Polzeiabschnict 65, außerdem gibt es noch Mit= erfreuen uns mit ihrem Vortrag mach-Aktionen für Kinder; Seifenblasen mit Gello; Holzarbeiten; Schwerter basteln mic Marlies; das Kreistanzgruppe unter von Kinderschminken mit Farina @nd Jessica; Malen Monika Kemmnitz und Basteln mit Michaela und vieles mehr _ Unsere Ehrenamtlichen des KIEZKLUB's und das Seniorenpflegeheim DOMIZIL verwöhnen sie mit ist gesorgt Leitung KIEZFEST KIEZKLUB Treptow-Kolleg Samstag, 1 0 Juli 2023 Kreistanzgruppe unter Leitung von selbstgebackenem Kuchen. Für Ihr leibliches Wohl K / E Z K L U B von 14 - 18 Uhr Tdedtow vQi erfreut uns als Elvis Presley",0.6463,0.8862
0066.jpg,HocusPocus Fürstenfeld Festival der Zauberkunst Veranstaltungsforum Fürstenfeld 11. – 15. Mai 2022,HocusPocus Furstenfeld Festival der Zauberkunst Veranstaltungsforum Fürstenfeld 11.~ 15.Mai 2022 11. - 15. Mai 2022,0.1939,0.4167
0067.jpeg,"HEART OF GAZA Eine Ausstellung mit Bildern von Kindern aus Gaza @stadtteilkomitee_lichtenberg @stk_lichtenberg 15.03.2025 - 16Uhr Café Wostok, Weitlingstr. 97 10317 Fundraising Veranstaltung | Eintritt frei Alle Spenden werden gezielt für das Projekt “We are not alone” eingesetzt","HEART OF GAZA Eine Ausstellung mit Bildern von Kindern aus Gaza @stadtteilkomitee_lichtenberg @stk_lichtenberg 15.0302025 2 16Uhr Cafe Wostok; Weitlingstr. 97 10317 Fundraising Veranstaltung | Eintritt frei Alle Spenden werden 'fürdas Projekt ""We are not alone"" eingesetzt ERC 'gezielt f Fundraising Veranstaltung Eintritt frei für das Projekt 'We are not alone"" eingesetzt KtEILK Alle Spenden werden gezielt für das Projekt We ArT eingesetzt",0.6,0.8158
0071.jpg,Freedom Parade No11 Großdemo mit Querdenken 29. August 2020 11:00 Uhr Start: Brandenburger Tor Ziel: Siegessäule GRAFIK: LASERLURCH.DE,Crafik: Siogessävle S6c: 2020 29.Augusl~ A1 : 00 Brandeaburger Tor 2;el; Freedom Porade M?11 29.Augusl 2020 Uhf A1 :0 uh Laserlurchde Parad AA #Freedom Porade M?11 Frrovom Parad,1.0522,1.5
0072.jpg,"DEMO UND LICHTERMEER „ZUSAMMENHALTEN GEGEN RECHTS“ MI. 14.2.2024 RIED IM INNKREIS 16:30 Bahnhof Ried (Bahnhofstraße 69) ab 17:00 Kundgebung, Marktplatz Ried mit Monika Salzer, Hans-Henning Scharsach und Susanne Scholl Bitte Kerze mitnehmen! omasgegenrechts.at ab 16:00 „Kulturpolitischer Aschermittwoch“ in der Giesserei, Ried kulturlandimpulse.at ZUM SCHUTZ UNSERER DEMOKRATIE OMAS GEGEN RECHTS OMAS GEGEN RECHTS","DP MI 44.2.2024 Ried IM innkreis 16830 Bahnhof Ried ab 17:00 Kundgebung, Markplatz Ried ab 16-00 mit Monika Salzer; Hans-Henalng Scharsach ~Kulturpolitscher Igegen und Susanne Scholl 'Bitte Kerze mitnehmeni OMAS ZuM SCHUTZ GEGEN RECHHTS unserer Demokpatif ONas DEMo Und Lichtermeer ZuSAMMENHALTEN GEGEN RECHTs"" DMAs [RECHTS) kulturlandimpulse.at Demo UNd Lichtermeer 7i Ts GEGEN Rechts"" MI 44.2.2024 RIED IM INNkREIS ~Henning Scharsach Ried En UNd LICHTERMEEr omasgegenrechs.at Aon ab 17:00 Kundgebung Markplatz Ried 24,",0.8983,1.2115
0073.jpeg,Umsonst- flohmarkt + Waffeln & Musik Lang vergessene Schätze des Hauses könnten euch gehören 02.03. | 12⁰⁰ - 17⁰⁰ Rigaer Straße 94,Umsonst - flohmarkt Walleln & Musik Lang vergessene Schätze des Hauses könnten   02.03. 1200 euch gchören Rigaer Straße 94 1700 Hauses könnten 02.03. cuch gehören,0.5077,0.7273
0074.jpg,"ZERO WASTE FUTURE FESTIVAL Null Verschwendung. Volles Programm. 16. November 2024 13:00–18:00 Uhr NochMall, Berlin-Reinickendorf Komm vorbei!","ZEROWASTE TUTRE FESIIVAL Null Verschwendung. Volles Programm_ 16. November 2024 Komm 13.00-18.00 Uhr vorbei! NochMall, Berlin-Reinickendorf 1300 1800 Uhr FI",0.2553,0.7059
0075.jpg,"My Heart is a Kinderdisco KINDERDISCO Friday 26 APRIL 14:00 - 19:30 ://About Blank - S-Bahn Ostkreuz DJs: Robert Owens, Manuel Bürger ALL AGES","BlanX-SBahn OStKrevz 'All Kinderdisco :lAbovt KIMDERDiSco Agbf 1S 6 MY Heart Friday %6 AP;L 1400-723 2 Agbf Djs RobertOwenf, Manvel Bürper My Heart (60 nn :lAbovt BlanX-SBqhn OstKrevz 7400-783  7406",1.0,1.2083
0078.png,LLEWELLYN LIVE SARA MILLER B2B KEV SHERIDAN KARETE BU JESSAMINE live at robert johnson running back riotvan permanent vacation maeve institut für zukunft drive g-edit ://about blank BORN WITH A NERVOUS BREAKDOWN ://about blank sat 6.5.2023 2 pm,LLEWELLYN live at robert johnson   running back riotvan SARA MILLER B2B KEV SHERIDAN permanent vacation KARETE BU institut für zukunft drive JESSAMINE 'Ilabout blank VOl JS 8-edit BORN LIVE Iive at robert johnson running back VTA Ilabout blank sat 6.5.2023 2pm NET BRCAkDCWN JA,0.7336,0.8947
0080.jpg,"Für Demokratie und Menschenrechte: SONN TAGS DEMO 18. Februar 2024, 17:30 Uhr Dornbirn Marktplatz Zeit aufzustehen: gegen Gedankengut, das die Demokratie zersetzt, und für das Gemeinsame in der Zivilgesellschaft, Solidarität und Mitmenschlichkeit. REDEBEITRÄGE Werner Dreier – Historiker, ehemaliger Leiter von erinnern.at, Sophia Hagleitner und Sophia Simon – Fridays for Future, Hanno Loewy – Jüdisches Museum Hohenems, Gerhild Steinbuch – HYDRA (Autor*inneninitiative gegen die europäische Rechte) MUSIK Andreas Paragioudakis VERANSTALTER Vorarlberger Plattform für Menschenrechte, das Bündnis aus 40 Organisationen: unter anderem: Menschenrechts- at","6 $ DeMd Werner von Uhr Februar 2024; erinnern at, Fridays for Futuren 18 Simon Museum Hanno Loewy und für Zeit das die in der die das Andreas Vorarlberger Plattfors VON das für 40 Ta Dreier Leiter und 17.30 Hagleitner Sophia Marktplatz Sophia Jüdisches Dornbirn Steinbuch Gerhild Gedankengut, Hohenems, itiative (Autortinnenin gegen aufzustehen: Rechte) HYDRA zersetzt, europaische Demokratie Zivilgesellschaft, gegen Gemeinsame Mitmenschlichkeit. Paragioudakis und Solidarität uns Bündnis VERANSTALTER Menschenrechte, Organisationen: Plattform aichts at S 0NN 17.30 Uhr Vorarlberger 'inneninitiative (Autori Musik Plattform Werner Dreler Redebeitrage UNTERSTOTZT 'innenin zersetzt; und für Februar Menschen Ta6 for Future; Mar oudakls G 2024, ktplatz und Mitm hgut; schants 26 1 N D M S ~s De Pa M, 5 8",0.9387,1.3049
0081.jpg,"WELCOM TO THE :// KINDERDISCO Musik + Tanz DJ-Workshop Pizza + Würstchen Baustellenstelle Kinderwagenparkplatz + Wickelstation Kreativ-Mobil Kaffee + Kuchen Mal- und Spray-Workshop Kinderschminken Fr 21·04·23 14–19 Uhr ://about blank markgrafendamm 24c, 10245 berlin am s-bhf ostkreuz","WELCoM T0 Kreativ-Mobil Musik Kuchen 74=19 Uhr DJ= Workshop MMal= und Spray-Workshop Pizza Würstchen markgrafendamm 246, 10245 berlin Bausteinstelle @m s-bhf @stkreuz Kinderwagenparkplatz Wickelstation ; Fr 21-04.23 Tanz Kaffe flabout blank Kinderschminken markgrafendamm 24c, 10245 berlin markgrafendamm 24c, 10245 berlin am bhf ostkreuz markgrafendamm 10245 The pis 5- WE L( Kinc",0.8275,1.1622
0082.jpg,"Demo Sa, 24.2. 14h Wrangelkiez am Platz ohne Namen Falckensteinst. 1A Der Görli bleibt auf! Bündnis Görli Zaunfrei","Demo]sa,24.214h Görli tbleibt 'Wrangelkiez Der Jaufdle",0.693,0.9444
0086.jpg,Bürgerinitiative EINEN STATT SPALTEN Soll das zu meiner neuen Normalität werden !? nächste Kundgebung: 08.08. 16-18 Uhr SAMSTAG STIFTSPLATZ Kaiserslautern,6 nächste Kundgebung: | SAMSTAG Uhr ST7FTSPLATZ Kaiserslautern 2 3 1 1 8 08.084618 Uhe 5/8 6,0.7922,1.0
0089.jpeg,NEUER ORT: FRIEDRICHSPLATZ KASSEL VOR DEM FRIDERICIANUM KUNDGEBUNG & AUFZUG Grundrechte gelten! MIT GASTREDNER HERMANN PLOPPA 15. JANUAR 2022 15:30 UHR,"KUNDGEBUNG & AUFZUG Maskenpflicht [Gundnechte 15 JANUAR 2022 MIT GASTREDNER 15.30 UHR HERMANN PLOPPA ORT: FRIEDRICHSPLATZ KASSEL NEUER FRIDERICIANUM DEM VOR 1 qeltem pflicht d laur, hr FREIHEIT klaut. JANUAR 2022 well  15. JANUAR d KASSEL 'FRIEDRICHSPLATZ ",1.2318,1.4762
0090.jpeg,"""Wir werden ALLE da sein!"" WORLD FREEDOM DAY Die Welt steht auf Auch Fulda macht dicht! ALLE INITIATIVEN & ORGANISATIONEN WELTWEIT - GEMEINSAM! UM 12:00 UHR LANDESZEIT! MAGDEBURG 20.11.2021 12:00 - 16:00 UHR LIVESTREAMS AUS ALLER WELT","@6 DAY Die Welt steht ORCANISATIONENT IUM 12800 UFR ANDESZE 00 T werden seingw ALLE - dichtl macht Fulda Auch LIVESTREAMS = AUS WORLD FREEDOM ALUEINIIIATIVEN & ORGANISATIONEN WELTWEIT GEMEINSAM! UM 12.00 UHR LANDESZEITI MAGDEBURG 20.11.2021 12-00 16-00 UHR ""Wir ALLER WELT 9 NSTRATION Die Welt steht ALLE INITIATIVEN",0.7137,1.0811
0091.jpg,mit Mobile Diskothek VERITAS 27. Bike & Rock Festival Limberg zwischen Cottbus und Vetschau 08. - 11. August 2024 immer am 2. August Wochenende Limited Booze Boys BLIND BANKERS Bullshit Rock’n’Roll aus Berlin NOBODY Infos: brf-limberg.de,Bilre & Rock Festial 27 0 iml? @ [ @ 110 Auguse_ 2024 '0 o5 chen cottbl mperg Votsch 08. '17 August Immer Augus Infos: brf-lmbergde NOBODY BANKERS BLIND Liperg am 2 Wochenende mil Bike n Rock Fesdiva] @,0.692,1.0556
0093.jpg,"KIEZKLUB Rathaus Johannisthal Sterndamm 102, 12487 BERLIN im Innenhof SOMMERFEST Sa 3. Sept. 14–19 Uhr INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN, KINDERBASTELN, HÜPFBURG, TEDDYAMBULANZ GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK ESSEN UND TRINKEN DUO CHARLSON & LUIS (BRA) SAMBA, CHORO, BOSA NOVA HARTMUT HAKER VON TANZBAR BIS SWINGEND RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE JEDE MENGE KINDERLIEDER DIE HOBBYSTEPPER, MONIKAS TANZMIX, DJ DER CHOR DER FRÖHLICHEN SÄNGER VON JOHANNISTHAL Der Eintritt ist frei.","DCR €infRitt fst (RCi INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN, KINDERBASTELN , HÜPFBURG , TEDDYAMBULANZ GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK ESSEN UND TRINKEN DUO CHARLSON & LUIS (BRA) SAMBA , CHORO, BOSA NOVA HARTMUT HAKER VON TANZBAR BIS SWINGEND RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE JEDE MENGE KINDERLIEDER DIE HOBBYSTEPPER , MONIKAS TANZMIX , DJ DER CHOR DER FRÖHLICHEN SÄNGER VON JOHANNISTHAL 1 1 (""",0.2351,0.4265
0094.jpg,"Einladung zur Trauerfeier für unsere geliebte Demokratie *1949 - 2020 26.04.2020 12:00 - 19:00 Mariannenplatz Wir bitten alle Trauergäste nur einzeln oder zu zweit zu kommen und protest- taugliche Schilder, Transparente und Plakate zur Niederlegung mitzubringen. Wir freuen uns auf Eure Trauerreden. Anlage und Mikrofon sind vor Ort. www.Aktion-Eigensinn.net","Ginladung 'gelielte Demakxatie 81949 2020 26.042020 12400 19800 Cnlage Maannenplatz Wi Bitten alle Snauengäste nux einzeln (Letion-Eigenoinnnet Püx unsee taugliche Schildex, Snanspwente und Snaueßeie Wlull Niededegung mitzußeingen ode zu zweit zu Rammen und pnatest- 12.00 - 19.00 odet zu zweit zu Rammen ud (Rtian - iunet ~Eigensinanet SlaRate zut Pwtoot-",0.5642,1.0
0095.jpg,"Bohemian Strawberry 🍓 & AmSTARt präsentieren: ICH BRAUCHE EINE GENIE VOL. 15 POPkultur, Feminismus, Change und so ... Songbook Releaseparty LIVE: KATRIN ACHINGER LESEPERFORMANCES & 1-SONG-SETS: ANNETTE BENJAMIN (HANS-A-PLAST), BERNADETTE LA HENGST, DAYN, DIE SUPERERBIN, ELKE BRAUWEILER, FAULENZA, FELINE & STRANGE, HANSJANA, LYDIA DAHER, MALONDA, MARIAMA SAFI, TOTE CRACKHUREN IM KOFFERRAUM MATCHING OUTFITS THE DOCTORELLA BABSI TOLLWUT 12.8. :://aboutblank","POPKULTJR , FEMINISMUS , Songbook Relenseparty LIVE: KATRIN ACHINGER MATCHING OUTFITS BABS I TOLLWUT DOCTORELLA 128 GENIE haw & AmSTARt POPKULTUR ,   PEMINISMUS , CHANGE [LESEPERFORMANCES & [-SONG-SETS: FAULENZA, FELINE STRANGE, SAFI, TOTE ORACKHUREN I UND Boemnan ANNETTE BENJAMIN (HaNS-A-PLASI) DIE SUPERERBIN; ELKE BRAU#EILER :aboutblank Prüsenfieren: ICH BRAUCHE EINE GENE VOL 15 KOFFERRAUM ICH BR ~wräseni BERNADETTE LA HENGST 80 MATCHING OUIPIIS MALONDA",0.7773,1.0339
0096.jpg,Schmeiß dein Ego weg und FEIER WAS DU LIEBST Für René     25. April Volksbühne am Rosa-Luxemburg-Platz,SchmeiB dein Ego weg und Schmeiß dein Ego wegund FEJER FEIER WAS DU LEBSHLIEBST ksbühne am Rosa-Luxemburg Plad Volksbühne am Rosa-Luxemburg: Platz WAS DU Für Rene 25. April Für Rene 25. April Volksbühne am Rosa Luxemburg Platz #; Schmeiß dein weg und Ego 25 April Schmeiß dein wveg und Ego,1.8725,2.375
0097.jpg,UNTERM TECHNO LIEGT DER PUNK :// ABOUT BLANK The kids are clearly not alright Welche Rolle spielen emanzipatorische Subkultur & Bewegung in Ostdeutschland? POLY▶LUX Veranstaltung 13.12.2024 20 Uhr :// about blank,"The kids are clearly not 6 alright 0 Welche Rolle spiclen P@LYD LUX Veranscaltung 13,12.2024 20Uhr 9ll abouc blank Hn 8 4 1 emanzipatorische Subkultur & Bewegung in Ostdeutschland ? 1 5 8 POLY LUX BL { @",0.7358,1.0645
0098.jpg,"eine benefizveranstaltung von ://about blank und top b3rlin MOVING BEYOND HOPE antinationale amplitude wider die großwetterlage montag, 2. oktober 2023, 18:00 uhr STAAT. NATION. KAPITAL. SCHEISSE. TOP BERLIN . TOP-BERLIN.NET",eine benefizveranstaltung von :llabout blank und b3rlin MOVING BEYOND HOPE montags 2oktober 2023) I8800 uhr top benefizveranstaltung von :llabout blank und antinationale amplitude wider die großwetterlage SCHEISSE benefizveranstaltung von :Hlabout blank und top b3rlin TAAT i,0.7589,0.9
0099.jpg,"Vergessene Arbeitskämpfe PUNK Abend Eintritt 8€ Roter Salon in der VOLKSBÜHNE Wann: 29.09., 21 Uhr Wer: EAT LIPSTICK + TOTENWALD arbeitskaempfe@volksbuehne-berlin.de",Hergessene Arbeitskärapfe Roter Salon 8€ der VOLKSBUHNE 29 04 24 W arbeitskaempfee PUN Abend Eintritt: (@uolksbuehne-berlin de Wann: EAT Lipsrick + Wer: arbeitskaempfe@volksbuehne-berlin.de TorevWals in der 29. 04. de 'berli,0.8606,1.2857
0100.jpg,FAMILIEN-FLOHMARKT in der Paul-Schneider-Grundschule 25.05.24 10 - 14 Uhr,"FAMILIEN-FLOHMARKT in der Paul-Schneider-Grundschule PAULI 10 14 Uhr 128 10 - 14 Uhr 25,05.24 Schneider-6 1 4 2 FAMILIEN -F ^MI",0.8219,1.4444
0101.jpg,"Freitag, den 28. Mai 2021 um 17 Uhr Stolpersteinverlegung in Alt-Hohenschönhausen Suermondtstraße 46, 13053 Berlin Blume Luise Albers, geb. Chassin, geb. am 22.12.1878 in Smolensk Musikalische Begleitung: Johann-Vincent Slawinski Blume Luise Albers war mit dem deutschen Beamten Steuersekretär Oskar Albers verheiratet. Die Eheschließung erfolgte am 22.12.1913 in Windhuk (Deutsch-Südwest-Afrika) im Standesamt Windhuk mit der Nr. 63. Das Paar lebte in Hohenschönhausen in der Suermondtstraße 46 vorn parterre. Laut Berliner Adressbuch ist der Straßenbezug noch 1927 als Baustelle eingetragen. Suermondt war Mitbegründer der Grunderwerbs- und Baugesellschaft in Hohenschönhausen, welche die Häuser bauen ließ und auch Eigentümer war. Mit der Fertigstellung der Wohnungen bezog das Ehepaar Albers ihre Wohnung im parterre. Die Wohnung bestand aus zwei Stuben und einer Küche. Blume Albers war Hausfrau. Oskar Albers verstarb am 4. Oktober 1940 in der gemeinsamen Wohnung laut Urkunde an einem Gehirnschlag. Frau Luise Albers war danach bis 1943 im Berliner Adressbuch als Mieterin eingetragen ist. Blume Albers musste Zwangsarbeit leisten in den Pankower Heilanstalten. Am 10. September 1943 wurde Blume Luise Albers mit dem 96. Alterstransport von dem Sammellager Große Hamburger Straße 26 nach Theresienstadt deportiert. Drei Monate später, am 18. Dezember 1943 wurde sie von Theresienstadt nach Auschwitz deportiert und dort ermordet.","Stolpensteinverlegung in Alt-Hohenschönhausen Musikalische Begleitung; Johann-Vincent Stavinski: im Standesarnt WIridhuk rait der Nz 63. bezordus; pad den 28. Mai 2021 um 17 Uhr_ Suermondtstraße 46, 13053 Berlin am 22.12.1878 in Smolensk Blume Luise Albers mit dern deutschen Beamten Steu - ersekretar Oskar Albers verheiratet: Die Eheschließung L /RS Das Paar lebte in Hohenschonhausen in der Suermondtstra- Benzug noch 1927 als Baustelle eingetragen; Suermondt war Mitbegründer der Grunderwerbs- und bauen ließ und auch Eigentümer warMit der Fertigstellung der Wohnungen bezog das einer Küche. Blume Albers war Hausfrau. Oskar Albers verstarb am Oktober 1940 in der gemeinsamen Wohnung laut Urkunde an emnem Gehirnschlag Frau Luisc Albers war danach bls 1943 Im Berliner Adressbuch als Mieterin eingetragen Ist Blume Albers musste Zwangsarbeit leisten In den Pankower Helmstatten . Amno September 1943 wurde Lulse Albers mit dem 96-Alterstransport von dem Sarmellager Große Hamburger Straße 26 nach Theresienstadt deporticrt; Drei Monate später am 18. Dezember 1943 wurde sie von Theresienstadt nach Ausch - wltz deportlert und dort ermordet Freitag; geb. War Blume Luise Albers g0b. Chassin,  war Mit der Fertigstellung der Wohnungen bezog das einer Kuche Blume Albers war Hausfrau. Amo Sarmellager Große Hamburger Straße 26 , Blume Luise Alber Chassin, LUISE war Mitder Fertigstellung der sie von Theresienstadt nach Ausch- WILZ den 28. Mai erfolgte am 2212 In Windhuk (Deutsch-Sudwest-Afrika) an einem Gehlrnschlag Frau Luise Albers war danach bls 1913 Irn Berliner Adressbuch Blume Albers musste Zwangsarbeit lelsten In den Pankawer Halmstätten; Drel Morate spater Suermondt war Mitbegründer der Grunderwerbs- und Dezember 1943 wurde sie von Theresienstadt nach Ausch - Hohenschonhausen Albers verheiratet. Die Eheschließung Ehepaar Albers Ihre Wohnung Ibers mIt der 96 Alterstransport von dem Oskar , Smolensk Eheschließung mnusste Zwangsarbeit lelsten ~SSIN 1842 Am 1o September 1943 wurde Blume Lulse Atbers mit dem $6-Alterstransport von dem am 22.12.1878 in Baugesellschalt in Holenschönhausen a Albers Musikalische Begh Haushau. gemeinsamen Wohnung lJut Urkunde dort ermordet 1  1""Sr 1e 16 Mai Hohenschonhausen in der Suermondesl' z - Sepl johann-Vmncent Slawinski 1943 wudc si2 von Jen 1 Uhr 53053 Berlin ' Oskar Albers",1.1045,1.395
0103.jpg,RAUS AUS DER DOSE! 17.05.2020     14–18 Uhr Mariannenplatz Der Rückzug ins Digitale ist keine Alternative! Deine Meinung ist relevant! Kunst ist relevant! Zeigt Eure Künste! Erhebt Eure Stimme! Das Mikrofon steht Euren Reden und Darbietungen offen www.aktion-eigensinn.net,17.05.2020 14-18 Uhr Mariannenplatz Der Rückzug ins Digitale ist keine Alternative? Deine Meinung ist relevant ! Kuns € ist relevant! Zeigt Eure Künste ! Erlebt Eure Stimme ! Das   Mikrofon steht Euren Reden   und Darbietungen offen WWW aktion-eigensinn.net ist relevant ! aktion-eigens ne [ 14-18 Uhr Der Rückzug  ins Digitale ist keine Deine Meinung ist relevant ! Der Rückzug Erhebt 2 Das Mikrofon Euren Darbietungen 0 steht nn is t keine is t Zeigt Eure Eure S.:=: () . 2() 2(),0.9669,1.6216
0104.jpg,Kiezklub Rathaus Johannisthal Sterndamm 102 WEIHNACHTSBAZAR 3. Dez. 14–19 Uhr Draußen: Glühwein und Gegrilltes Feuertonne und Stockbrot weihnachtliche Livemusik Stände mit interessanten Dingen Drinnen: Bastelstraße Kindertheater aus dem Koffer Filzen,"Kiezklub Rathaus Johannisthal Sterndamm 102 WEIHNACHTSBAZAR Draußen; Glühwein und Gegrilltes Feuertonne und Stockbrot weihnachtliche Livemusik Stände mit interessanten Drinnen; Bastelstraße Kindertheater aus dem Koffer Pilzen Kiezklub Rathaus Johannlsthal Dingen EPACE PG 3Dez 14-19 Ubr Stände mit interessanten Dingen Marktschwarmer berli 22,14-19Uhr",0.616,0.8
0106.jpg,"KEINE QUERFRONT AUF DEM ROSA-LUXEMBURG-PLATZ! ""NICHT OHNE UNS""? – OHNE UNS! Seit nunmehr vier Wochen demonstrieren Neurechte, Verschwörungsideolog*innen und Teile der rechtsradikalen und völkischen Szene auf dem Rosa-Luxemburg-Platz unter dem Banner „Hygienedemo“, organisiert von der „Kommunikationsstelle Demokratischer Widerstand“, deren Initiatoren sich in einem Interview vor dem Reichstag mit wehenden Deutschlandfahnen erklären. Wir rufen deshalb alle antifaschistischen, anarcha-queer-feministischen Menschen zur Verteidigung des Rosa-Luxemburg-Platzes und der Volksbühne auf. Kreativer Kontaktloser Gegenprotest: vor dem Karl Liebknecht Haus um 15 Uhr jeden Samstag und am 1. Mai seid kreativ laut und bunt! Kein Platz für Nazis! #antifaarea V.i.S.d.P.: Karla Krawall, Rosa-Luxemburg Platz 1, 1312 Berlin","kischen Szene @ur @nner ,Hygie @es os@-Luxem egenprolest:] vor dem Karl Liebknechi Haus um ISUhr jeden Samstag und @m LaMai 9u79 'NICHT OHNE UNS""? OHNE UNS! Seit nunmehr vier Wochen demonstrieren Neurechte; Verschwörungsideolog*innen und Teile der rechtsradikalen und völ- kischen Szene auf dem Rosa-Luxemburg-Platz unter dem Banner ,Hygie- nedemo"" , organisiert von der Kommunikationsstelle Demokratischer Wi - derstand' deren Initiatoren sich in einem Interview vor dem Reichstag mit wehenden Deutschlandfahnen erklären. Wir rufen deshalb alle antifa- schistischen; anarcha-queer-feministischen Menschen zur Verteidigung des Rosa-Luxemburg-Platzes und der Volksbühne aut. Kreativer Kontaktloser Gegenprotest: [#antifaarea und am 1.Mai seid kreativ laut und buntl Borlln Pialz VIS dIP ; Kara Krawall Nazis| 2 2 derstand"" , deren Initiatoren sich in einem Interview vor dem Reichstag 4 nedemo organisiert von der Rosa Luxembuig Platz 1,1312 kischen Szene auf dem Rosa-Luxemburg-Platz unter dem Banner Hygie- mit wehenden Deutschlandfahnen erklären Wir rufen deshalb alle antifa- VISdP Karla Krawall, Rosa völ- schistischen anarcha-queer-feministischen Menschen zur Verteidigung Rosu kischen Szene auf dem Rosa-Luxemburg Platz unter dem Banner Reichstag Kin",0.7023,1.0792
