image,gt_line,ocr_line,CER,WER
0047.jpg,UBER EATS MUSIC HALL,UBER EATS MUSIC HALL,0.0,0.0
0047.jpg,"BERLIN, 28.09.2024",,1.0,1.0
0047.jpg,EINLASS: 18.30 UHR,EINLASS; 18.J0 VHR,0.1667,1.0
0049.jpg,Rock'n'Roll Silvester,,1.0,1.0
0049.jpg,BOPPIN'B,BOPPINB,0.125,1.0
0049.jpg,Manu Tanzratte,Tanzratte,0.3571,0.5
0049.jpg,LEE'S REVENGE,,1.0,1.0
0049.jpg,Silvester- & Wunschfeuer auf der Terrasse,,1.0,1.0
0049.jpg,Killer Kirsche,,1.0,1.0
0049.jpg,copper and blonde,,1.0,1.0
0049.jpg,Di. 31.12.2024,Di. 3112.2024,0.0714,0.5
0049.jpg,Beginn 20:30 Uhr (Einlass 20 Uhr),Beginn 20.30 Uhr (Einlass 20 Ubr),0.0606,0.3333
0049.jpg,"Eintritt: 25 € + VVK | Späteinlass (ab 22:30 Uhr, nur Abendkasse): 15 €",Eintritt: 25 C + VVG | Späteinlass (ab 22.30 Uhr; nur Abendkasse): 15 €,0.0563,0.2857
0049.jpg,Bürgerhaus Dreieich,Büirgerhaus Dreieich,0.0526,0.5
0049.jpg,Fichtestr. 50 | 63303 Dreieich,Fichtestr: 50 | 63303 Dreieich,0.0333,0.2
0050.jpg,Einladung zur bewegten Versammlung,,1.0,1.0
0050.jpg,Miteinander zur Freude,,1.0,1.0
0050.jpg,"Samstag, 15. August ab 17:30","Samstag, 15. August ab 17.30",0.0357,0.2
0050.jpg,vom Friedensengel,vom Friedensengel,0.0,0.0
0050.jpg,zur Münchner Freiheit,zur Münchner Freiheit,0.0,0.0
0050.jpg,Die Maßnahmen der letzten Zeit haben uns allen viel abverlangt,Maßnahmen der letzen Zeit haben uns allen viel abverlangt,0.0806,0.2
0050.jpg,Mit Musik und guter Laune ziehen wir gemeinsam durch München und holen uns die LEBENSFREUDE zurück!,,1.0,1.0
0051.jpg,bEwegunGS,bEweGunGs,0.2222,1.0
0051.jpg,FREIHEIT #23,FREIHEIT #23,0.0,0.0
0051.jpg,29.12.2023,2912 2023,0.2,2.0
0051.jpg,://ABOUT BLANK,IABOUT BLANK,0.2143,0.5
0051.jpg,SOLIPARTY FÜR MENSCHEN,SOLIPARTY FÜR,0.4091,0.3333
0051.jpg,MIT FLUCHTGESCHICHTE,FLUCHTGESCHICHTE,0.2,0.5
0052.jpeg,01.03.2025,01.03.2025,0.0,0.0
0052.jpeg,Punk Against Gentrification,,1.0,1.0
0052.jpeg,Gemeinsam gegen das Clubsterben,Gemeinsam gegen das Clubsterben,0.0,0.0
0052.jpeg,ni-jusan,ni-ju san,0.125,2.0
0052.jpeg,AUF KRAMPF,KRAMPF,0.4,0.5
0052.jpeg,LADEHEMMUNG,LADEHEMMUNG,0.0,0.0
0052.jpeg,Einlass : 19 Uhr,,1.0,1.0
0052.jpeg,Beginn : 20 Uhr,,1.0,1.0
0052.jpeg,"VVK : 13,12€   AK : 15€",,1.0,1.0
0052.jpeg,Wo :,Wo,0.5,0.5
0052.jpeg,SOLTMANN,S@LTMAN N,0.25,2.0
0054.jpg,MAGISCHES,MAGISCHES,0.0,0.0
0054.jpg,FÜRSTENFELD,FÜRSTENFELD,0.0,0.0
0054.jpg,5. + 6. Januar 2025,5. + 6. Januar 2025,0.0,0.0
0054.jpg,Zaubervarieté,Zaubervariete,0.0769,1.0
0054.jpg,für die ganze Familie,für die ganze Famile,0.0476,0.25
0054.jpg,JANIS VON DEM BORNE,,1.0,1.0
0054.jpg,MARION METTERNICH,METTERNICH,0.4118,0.5
0054.jpg,DETLEF WINTERBERG,WINTERBERG,0.4118,0.5
0055.jpg,Soliparty für Frauen auf der Flucht (ROSA e.V.),Soliparty für Frauen auf der Flucht (ROSA e.V),0.0213,0.125
0055.jpg,DYNAMIC x EUPHORIOT,,1.0,1.0
0055.jpg,"7.3.2025, 23–7 Uhr","73.2025, 23-7 Ulr",0.1667,1.0
0055.jpg,://about blank,:labout blank,0.1429,0.5
0055.jpg,SKYY,SKYY,0.0,0.0
0055.jpg,YU/VA,YU/VA,0.0,0.0
0055.jpg,TIKITULA,,1.0,1.0
0055.jpg,POWPOW,,1.0,1.0
0055.jpg,MAARTEN,MAARTEN,0.0,0.0
0055.jpg,KETRAEDA,KETRAEDA,0.0,0.0
0055.jpg,FUCHSITEK,FUCHSITEK,0.0,0.0
0055.jpg,MISS PIXIE,MISS PIXIE,0.0,0.0
0055.jpg,JULE BAMBULE,JULE BAMBULE,0.0,0.0
0055.jpg,GRETCHEN BAZOOKA,,1.0,1.0
0055.jpg,SHANNON SOUNDQUIST,SHANNON SOUNDQUIST,0.0,0.0
0055.jpg,HAVYLICOUS B2B GINGER B,,1.0,1.0
0055.jpg,"Tekno, Gabber, Frenchcore",Telno; Gabbber; Frenchcore,0.16,0.6667
0055.jpg,+ Karaoke,,1.0,1.0
0055.jpg,"Markgrafendamm 24c, 10245 Berlin","Markgrafendamm 246,10245 Berlin",0.0625,0.5
0055.jpg,Fascists not welcome!,,1.0,1.0
0057.jpg,HOCUS POCUS,,1.0,1.0
0057.jpg,DIE INTERNATIONALE ZAUBERGALA,,1.0,1.0
0057.jpg,MIT,,1.0,1.0
0057.jpg,SORIA IENG,SORIA IENG,0.0,0.0
0057.jpg,ALBERTO GIORGI & LAURA,ALBERTO GIORGI & LAURA,0.0,0.0
0057.jpg,SVEN HEUBES & SABRINA,SVEN HEUBES & SABRINA,0.0,0.0
0057.jpg,MAGIC DORIAN,MAGIC DORIAN,0.0,0.0
0057.jpg,ANDY JORDAN,ANDY J@RDAN,0.0909,0.5
0057.jpg,MARC OBERON,MAR @BERON,0.1818,1.0
0057.jpg,MODERATION,,1.0,1.0
0057.jpg,BERT CALLENBACH,,1.0,1.0
0057.jpg,13. & 15.5.2022,13. & 15.5.2022,0.0,0.0
0057.jpg,VERANSTALTUNGSFORUM FÜRSTENFELD - STADTSAAL,VERANSTALTUNGSFORUM FÜRSTENFELD - STADTSAAL,0.0,0.0
0057.jpg,FÜRSTENFELD 12 • 82256 FÜRSTENFELDBRUCK • KARTEN AB 27€ AUF FÜRSTENFELD.RESERVIX.DE,82256 FORSTENFELDBRUCK * KARTEN AB 27€ AUF FUERSTENFELD RESERVIX DE,0.2771,0.7273
0059.jpg,KIEZ COMEDY,,1.0,1.0
0059.jpg,smash comedy,,1.0,1.0
0059.jpg,"8. März, 19 Uhr, KUFA Moabit",,1.0,1.0
0059.jpg,FLINTA* STAND UP COMEDY,STAID UP COMEDY,0.3913,0.5
0059.jpg,BERLIN,EERLIN,0.1667,1.0
0059.jpg,Sozialraumorientierte Planungskoordination,,1.0,1.0
0059.jpg,Gefördert durch die Stadtteilkasse,,1.0,1.0
0060.jpg,POETRY B'N'B,,1.0,1.0
0060.jpg,DEIN FAST PRIME-TIME POETRY SLAM,,1.0,1.0
0060.jpg,"26. April 2024, 20.12 Uhr",,1.0,1.0
0060.jpg,DAS GROSSE FINALE,,1.0,1.0
0060.jpg,Eine Kooperation von,Eine Kooperation von,0.0,0.0
0060.jpg,Brakula Kultur in Bramfeld,,1.0,1.0
0060.jpg,BIM Kulturzentrum auf KulTour,,1.0,1.0
0061.jpg,Freedom Parade,Freedom Porade,0.0714,0.5
0061.jpg,Die Verleihung der roten Clownsnase,Die Verleihung de roten Clounsnase,0.0571,0.4
0061.jpg,durch Captain Future an Dr. Drosten,,1.0,1.0
0061.jpg,01.10.2020 ab 10:00 Uhr,01.40.2020 ab AO:ODUhr,0.2609,0.75
0061.jpg,vorm Schloss Bellevue,Schloss Belkvve,0.381,0.6667
0061.jpg,GRAFIK: LASERURCH.DE,,1.0,1.0
0062.jpg,B!M Kulturzentrum,,1.0,1.0
0062.jpg,SEI DABEI!,,1.0,1.0
0062.jpg,LESECLUB,LESECLUB,0.0,0.0
0062.jpg,HORIZONTE ERWEITERN,,1.0,1.0
0062.jpg,WELTEN ERLESEN.,WEITENJERLESEN.,0.1333,1.0
0062.jpg,LESECLUB,,1.0,1.0
0062.jpg,Montags von 14.00 – 15.30 Uhr,Montags von 14.00 - 15.30 Uhr,0.0345,0.1667
0062.jpg,für alle Kinder zwischen 9 und 12 Jahren,für alle Kinder zwischen 9 und 12 Jahren,0.0,0.0
0062.jpg,"im Gymnasium Meiendorf, Raum 804, Kreuzbau, Schierenberg 60","im Gymnasium Meiendorf; Raum 804, Kreuzbau; Schierenberg 60",0.0339,0.25
0062.jpg,Leseklubs,Leseclubs,0.1111,1.0
0062.jpg,Stiftung Lesen,Stiftung Lesen,0.0,0.0
0062.jpg,GYMNASIUM MEIENDORF,,1.0,1.0
0062.jpg,LESECLUB MEIENDORF,,1.0,1.0
0063.jpg,DEMO,DEMO,0.0,0.0
0063.jpg,STOPPT DIE,STOPPT DIE,0.0,0.0
0063.jpg,GASLOBBY,GASLOBBY,0.0,0.0
0063.jpg,soziale Klima- und Energiepolitik,soziale Klima- und Energiepolitik,0.0,0.0
0063.jpg,gegen die European Gas Conference,gegen die European Gas Conference,0.0,0.0
0063.jpg,POWER,FOMER,0.4,1.0
0063.jpg,TO THE,TOTHE,0.1667,1.0
0063.jpg,PEOPLE,,1.0,1.0
0063.jpg,28. März,28. März,0.0,0.0
0063.jpg,17:30 Uhr,17830 Uhr,0.1111,0.5
0063.jpg,Stephansplatz,Stephansplatz,0.0,0.0
0063.jpg,@systemchange.not.climatechange,@systemchange not climatechange,0.0645,3.0
0064.jpg,KIEZFEST,KIEZFEST,0.0,0.0
0064.jpg,KIEZKLUB Treptow-Kolleg,KIEZKLUB Treptow-Kolleg,0.0,0.0
0064.jpg,"Samstag, 1. Juli 2023 von 14 – 18 Uhr",,1.0,1.0
0064.jpg,Eröffnung durch Frau Weingart,Eröffnung durch Frau Weingart,0.0,0.0
0064.jpg,Stellvertretende Bezirksbürgermeisterin,Stellvertretende Bezirksbürgermeisterin,0.0,0.0
0064.jpg,"und Leiterin der Abteilung Soziales, Arbeit","und Leiterin der Abteilung Soziales, Arbeit",0.0,0.0
0064.jpg,und Teilhabe,und Teilhabe,0.0,0.0
0064.jpg,Es spielt die Combo des,Es spielt die Combo des,0.0,0.0
0064.jpg,Landespolizeiorchesters,Landespolizeiorchesters,0.0,0.0
0064.jpg,Brandenburg,Brandenburg,0.0,0.0
0064.jpg,Die fröhlichen Herbstlerchen,Die fröhlichen Herbstlerchen,0.0,0.0
0064.jpg,erfreuen uns mit ihrem Vortrag,erfreuen uns mit ihrem Vortrag,0.0,0.0
0064.jpg,Kreistanzgruppe unter Leitung von,Kreistanzgruppe unter Leitung von,0.0,0.0
0064.jpg,Monika Kemmnitz,Monika Kemmnitz,0.0,0.0
0064.jpg,Dirk Jüttner,Dirk Jüttner,0.0,0.0
0064.jpg,erfreut uns als Elvis Presley,erfreut uns als Elvis Presley,0.0,0.0
0064.jpg,Kinder- und Erwachsenen-Tanzteam,Kinder- und Erwachsenen-Tanzteam,0.0,0.0
0064.jpg,des PSV Olympia Berlin,des PSV Olympia Berlin,0.0,0.0
0064.jpg,Belly Dance mit „SOURAIA HAGIR“,"Belly Dance mit wSOURAIA HAGIR""",0.0645,0.4
0064.jpg,Eine kostenlose Fahrradkennzeichnung durch den,Eine kostenlose Fahrradkennzeichnung durch den,0.0,0.0
0064.jpg,"Polizeabschnitt 65, außerdem gibt es noch Mit-","Polzeiabschnict 65, außerdem gibt es noch Mit=",0.087,0.2857
0064.jpg,"mach-Aktionen für Kinder, Seifenblasen mit Ciello,",mach-Aktionen für Kinder; Seifenblasen mit Gello;,0.08,0.3333
0064.jpg,"Holzarbeiten, Schwerter basteln mit Marlies, das",Holzarbeiten; Schwerter basteln mic Marlies; das,0.0625,0.5
0064.jpg,"Kinderschminken mit Farina und Jessica, Malen",Kinderschminken mit Farina @nd Jessica; Malen,0.0444,0.3333
0064.jpg,und Basteln mit Michaela und vieles mehr …,und Basteln mit Michaela und vieles mehr _,0.0238,0.125
0064.jpg,Unsere Ehrenamtlichen des KIEZKLUB’s und das,Unsere Ehrenamtlichen des KIEZKLUB's und das,0.0227,0.1667
0064.jpg,Seniorenpflegeheim DOMIZIL verwöhnen sie mit,Seniorenpflegeheim DOMIZIL verwöhnen sie mit,0.0,0.0
0064.jpg,selbstgebackenem Kuchen. Für Ihr leibliches Wohl,selbstgebackenem Kuchen. Für Ihr leibliches Wohl,0.0,0.0
0064.jpg,ist gesorgt.,ist gesorgt,0.0833,0.5
0066.jpg,HocusPocus,HocusPocus,0.0,0.0
0066.jpg,Fürstenfeld,Fürstenfeld,0.0,0.0
0066.jpg,Festival der Zauberkunst,Festival der Zauberkunst,0.0,0.0
0066.jpg,Veranstaltungsforum,Veranstaltungsforum,0.0,0.0
0066.jpg,Fürstenfeld,Furstenfeld,0.0909,1.0
0066.jpg,11. – 15. Mai 2022,11. - 15. Mai 2022,0.0556,0.2
0067.jpeg,HEART OF GAZA,,1.0,1.0
0067.jpeg,Eine Ausstellung mit Bildern,Eine Ausstellung mit Bildern,0.0,0.0
0067.jpeg,von Kindern aus Gaza,von Kindern aus Gaza,0.0,0.0
0067.jpeg,@stadtteilkomitee_lichtenberg,@stadtteilkomitee_lichtenberg,0.0,0.0
0067.jpeg,@stk_lichtenberg,@stk_lichtenberg,0.0,0.0
0067.jpeg,15.03.2025 - 16Uhr,,1.0,1.0
0067.jpeg,"Café Wostok, Weitlingstr. 97 10317",Cafe Wostok; Weitlingstr. 97 10317,0.0588,0.4
0067.jpeg,Fundraising Veranstaltung | Eintritt frei,Fundraising Veranstaltung | Eintritt frei,0.0,0.0
0067.jpeg,Alle Spenden werden gezielt für das Projekt “We are not alone” eingesetzt,,1.0,1.0
0071.jpg,Freedom Parade No11,Freedom Porade M?11,0.1579,0.6667
0071.jpg,Großdemo mit Querdenken,,1.0,1.0
0071.jpg,29. August 2020,29.Augusl 2020,0.1333,0.6667
0071.jpg,11:00 Uhr,,1.0,1.0
0071.jpg,Start: Brandenburger Tor,Brandeaburger Tor,0.3333,0.6667
0071.jpg,Ziel: Siegessäule,,1.0,1.0
0071.jpg,GRAFIK: LASERLURCH.DE,,1.0,1.0
0072.jpg,DEMO UND LICHTERMEER,,1.0,1.0
0072.jpg,„ZUSAMMENHALTEN,ZuSAMMENHALTEN,0.1333,1.0
0072.jpg,GEGEN RECHTS“,"GEGEN RECHTs""",0.1538,0.5
0072.jpg,MI. 14.2.2024,MI 44.2.2024,0.1538,1.0
0072.jpg,RIED IM INNKREIS,,1.0,1.0
0072.jpg,16:30 Bahnhof Ried,16830 Bahnhof Ried,0.0556,0.3333
0072.jpg,(Bahnhofstraße 69),,1.0,1.0
0072.jpg,"ab 17:00 Kundgebung, Marktplatz Ried","ab 17:00 Kundgebung, Markplatz Ried",0.0278,0.2
0072.jpg,"mit Monika Salzer, Hans-Henning Scharsach",mit Monika Salzer; Hans-Henalng Scharsach,0.0732,0.4
0072.jpg,und Susanne Scholl,und Susanne Scholl,0.0,0.0
0072.jpg,Bitte Kerze mitnehmen!,'Bitte Kerze mitnehmeni,0.0909,0.6667
0072.jpg,omasgegenrechts.at,omasgegenrechs.at,0.0556,1.0
0072.jpg,ab 16:00,ab 16-00,0.125,0.5
0072.jpg,„Kulturpolitischer,~Kulturpolitscher,0.1111,1.0
0072.jpg,Aschermittwoch“,,1.0,1.0
0072.jpg,"in der Giesserei, Ried",,1.0,1.0
0072.jpg,kulturlandimpulse.at,kulturlandimpulse.at,0.0,0.0
0072.jpg,ZUM,ZuM,0.3333,1.0
0072.jpg,SCHUTZ,SCHUTZ,0.0,0.0
0072.jpg,UNSERER,,1.0,1.0
0072.jpg,DEMOKRATIE,,1.0,1.0
0072.jpg,OMAS,OMAS,0.0,0.0
0072.jpg,GEGEN,GEGEN,0.0,0.0
0072.jpg,RECHTS,RECHHTS,0.1667,1.0
0072.jpg,OMAS,,1.0,1.0
0072.jpg,GEGEN,GEGEN,0.0,0.0
0072.jpg,RECHTS,[RECHTS),0.3333,1.0
0073.jpeg,Umsonst-,Umsonst -,0.125,2.0
0073.jpeg,flohmarkt,flohmarkt,0.0,0.0
0073.jpeg,+ Waffeln & Musik,Walleln & Musik,0.2353,0.5
0073.jpeg,Lang,Lang,0.0,0.0
0073.jpeg,vergessene,vergessene,0.0,0.0
0073.jpeg,Schätze des,Schätze des,0.0,0.0
0073.jpeg,Hauses könnten,Hauses könnten,0.0,0.0
0073.jpeg,euch gehören,euch gchören,0.0833,0.5
0073.jpeg,02.03. | 12⁰⁰ - 17⁰⁰,,1.0,1.0
0073.jpeg,Rigaer Straße 94,Rigaer Straße 94,0.0,0.0
0074.jpg,ZERO WASTE,ZEROWASTE,0.1,1.0
0074.jpg,FUTURE,TUTRE,0.3333,1.0
0074.jpg,FESTIVAL,FESIIVAL,0.125,1.0
0074.jpg,Null Verschwendung.,Null Verschwendung.,0.0,0.0
0074.jpg,Volles Programm.,Volles Programm_,0.0625,0.5
0074.jpg,16. November 2024,16. November 2024,0.0,0.0
0074.jpg,13:00–18:00 Uhr,13.00-18.00 Uhr,0.2,0.5
0074.jpg,"NochMall, Berlin-Reinickendorf","NochMall, Berlin-Reinickendorf",0.0,0.0
0074.jpg,Komm,Komm,0.0,0.0
0074.jpg,vorbei!,vorbei!,0.0,0.0
0075.jpg,My Heart is a Kinderdisco,,1.0,1.0
0075.jpg,KINDERDISCO,KIMDERDiSco,0.3636,1.0
0075.jpg,Friday 26 APRIL 14:00 - 19:30,Friday %6 AP;L 1400-723,0.3448,0.8333
0075.jpg,://About Blank - S-Bahn Ostkreuz,:lAbovt BlanX-SBqhn OstKrevz,0.3125,1.0
0075.jpg,"DJs: Robert Owens, Manuel Bürger","Djs RobertOwenf, Manvel Bürper",0.1875,1.0
0075.jpg,ALL AGES,,1.0,1.0
0078.png,LLEWELLYN LIVE,LLEWELLYN,0.3571,0.5
0078.png,SARA MILLER B2B KEV SHERIDAN,,1.0,1.0
0078.png,KARETE BU,KARETE BU,0.0,0.0
0078.png,JESSAMINE,JESSAMINE,0.0,0.0
0078.png,live at robert johnson,Iive at robert johnson,0.0455,0.25
0078.png,running back,running back,0.0,0.0
0078.png,riotvan,riotvan,0.0,0.0
0078.png,permanent vacation,permanent vacation,0.0,0.0
0078.png,maeve,,1.0,1.0
0078.png,institut für zukunft,institut für zukunft,0.0,0.0
0078.png,drive,drive,0.0,0.0
0078.png,g-edit,8-edit,0.1667,1.0
0078.png,://about blank,'Ilabout blank,0.2143,0.5
0078.png,BORN,BORN,0.0,0.0
0078.png,WITH,,1.0,1.0
0078.png,A,,1.0,1.0
0078.png,NERVOUS,,1.0,1.0
0078.png,BREAKDOWN,BRCAkDCWN,0.3333,1.0
0078.png,://about blank,Ilabout blank,0.2143,0.5
0078.png,sat 6.5.2023,sat 6.5.2023,0.0,0.0
0078.png,2 pm,2pm,0.25,1.0
0080.jpg,Für Demokratie und Menschenrechte:,,1.0,1.0
0080.jpg,SONN,S 0NN,0.5,2.0
0080.jpg,TAGS,,1.0,1.0
0080.jpg,DEMO,,1.0,1.0
0080.jpg,"18. Februar 2024, 17:30 Uhr",,1.0,1.0
0080.jpg,Dornbirn Marktplatz,,1.0,1.0
0080.jpg,"Zeit aufzustehen: gegen Gedankengut,",,1.0,1.0
0080.jpg,"das die Demokratie zersetzt, und für",,1.0,1.0
0080.jpg,"das Gemeinsame in der Zivilgesellschaft,",,1.0,1.0
0080.jpg,Solidarität und Mitmenschlichkeit.,,1.0,1.0
0080.jpg,REDEBEITRÄGE Werner Dreier –,,1.0,1.0
0080.jpg,"Historiker, ehemaliger Leiter von",,1.0,1.0
0080.jpg,"erinnern.at, Sophia Hagleitner und",,1.0,1.0
0080.jpg,"Sophia Simon – Fridays for Future,",,1.0,1.0
0080.jpg,Hanno Loewy – Jüdisches Museum,,1.0,1.0
0080.jpg,"Hohenems, Gerhild Steinbuch –",,1.0,1.0
0080.jpg,HYDRA (Autor*inneninitiative,,1.0,1.0
0080.jpg,gegen die europäische Rechte),,1.0,1.0
0080.jpg,MUSIK Andreas Paragioudakis,,1.0,1.0
0080.jpg,VERANSTALTER Vorarlberger Plattform,Vorarlberger Plattfors,0.4,0.6667
0080.jpg,"für Menschenrechte, das Bündnis aus",,1.0,1.0
0080.jpg,40 Organisationen:,Organisationen:,0.1667,0.5
0080.jpg,unter anderem: Menschenrechts- at,,1.0,1.0
0081.jpg,WELCOM,WELCoM,0.1667,1.0
0081.jpg,TO,,1.0,1.0
0081.jpg,THE ://,,1.0,1.0
0081.jpg,KINDERDISCO,,1.0,1.0
0081.jpg,Musik + Tanz,,1.0,1.0
0081.jpg,DJ-Workshop,Workshop,0.2727,1.0
0081.jpg,Pizza + Würstchen,Würstchen,0.4706,0.6667
0081.jpg,Baustellenstelle,Bausteinstelle,0.1875,1.0
0081.jpg,Kinderwagenparkplatz + Wickelstation,,1.0,1.0
0081.jpg,Kreativ-Mobil,Kreativ-Mobil,0.0,0.0
0081.jpg,Kaffee + Kuchen,,1.0,1.0
0081.jpg,Mal- und Spray-Workshop,und Spray-Workshop,0.2174,0.3333
0081.jpg,Kinderschminken,Kinderschminken,0.0,0.0
0081.jpg,Fr 21·04·23,Fr 21-04.23,0.1818,0.5
0081.jpg,14–19 Uhr,74=19 Uhr,0.2222,0.5
0081.jpg,://about blank,flabout blank,0.2143,0.5
0081.jpg,"markgrafendamm 24c, 10245 berlin","markgrafendamm 24c, 10245 berlin",0.0,0.0
0081.jpg,am s-bhf ostkreuz,@m s-bhf @stkreuz,0.1176,0.6667
0082.jpg,"Demo Sa, 24.2. 14h","Demo]sa,24.214h",0.2778,1.0
0082.jpg,Wrangelkiez,'Wrangelkiez,0.0909,1.0
0082.jpg,am Platz ohne Namen,,1.0,1.0
0082.jpg,Falckensteinst. 1A,,1.0,1.0
0082.jpg,Der,Der,0.0,0.0
0082.jpg,Görli,Görli,0.0,0.0
0082.jpg,bleibt,tbleibt,0.1667,1.0
0082.jpg,auf!,,1.0,1.0
0082.jpg,Bündnis Görli Zaunfrei,,1.0,1.0
0086.jpg,Bürgerinitiative EINEN STATT SPALTEN,,1.0,1.0
0086.jpg,Soll das zu meiner neuen Normalität werden !?,,1.0,1.0
0086.jpg,nächste Kundgebung:,nächste Kundgebung:,0.0,0.0
0086.jpg,08.08. 16-18 Uhr,08.084618 Uhe,0.3125,1.0
0086.jpg,SAMSTAG,SAMSTAG,0.0,0.0
0086.jpg,STIFTSPLATZ Kaiserslautern,ST7FTSPLATZ Kaiserslautern,0.0385,0.5
0089.jpeg,NEUER ORT:,,1.0,1.0
0089.jpeg,FRIEDRICHSPLATZ KASSEL,FRIEDRICHSPLATZ KASSEL,0.0,0.0
0089.jpeg,VOR DEM FRIDERICIANUM,FRIDERICIANUM,0.381,0.6667
0089.jpeg,KUNDGEBUNG &,KUNDGEBUNG,0.1667,0.5
0089.jpeg,AUFZUG,AUFZUG,0.0,0.0
0089.jpeg,Grundrechte,[Gundnechte,0.2727,1.0
0089.jpeg,gelten!,,1.0,1.0
0089.jpeg,MIT GASTREDNER,GASTREDNER,0.2857,0.5
0089.jpeg,HERMANN PLOPPA,,1.0,1.0
0089.jpeg,15. JANUAR 2022,JANUAR 2022,0.2667,0.3333
0089.jpeg,15:30 UHR,15.30 UHR,0.1111,0.5
0090.jpeg,"""Wir werden",werden,0.4545,0.5
0090.jpeg,"ALLE da sein!""",,1.0,1.0
0090.jpeg,WORLD FREEDOM,WORLD FREEDOM,0.0,0.0
0090.jpeg,DAY,DAY,0.0,0.0
0090.jpeg,Die Welt steht auf,Die Welt steht,0.2222,0.25
0090.jpeg,Auch Fulda macht dicht!,,1.0,1.0
0090.jpeg,ALLE INITIATIVEN & ORGANISATIONEN,ALUEINIIIATIVEN & ORGANISATIONEN,0.0909,0.5
0090.jpeg,WELTWEIT - GEMEINSAM!,,1.0,1.0
0090.jpeg,UM 12:00 UHR LANDESZEIT!,UM 12.00 UHR LANDESZEITI,0.0833,0.5
0090.jpeg,MAGDEBURG,MAGDEBURG,0.0,0.0
0090.jpeg,20.11.2021,20.11.2021,0.0,0.0
0090.jpeg,12:00 - 16:00 UHR,,1.0,1.0
0090.jpeg,LIVESTREAMS AUS,LIVESTREAMS =,0.2,0.5
0090.jpeg,ALLER WELT,,1.0,1.0
0091.jpg,mit,mil,0.3333,1.0
0091.jpg,Mobile Diskothek,,1.0,1.0
0091.jpg,VERITAS,,1.0,1.0
0091.jpg,27.,27,0.3333,1.0
0091.jpg,Bike & Rock Festival,Bilre & Rock Festial,0.15,0.5
0091.jpg,Limberg,Liperg,0.2857,1.0
0091.jpg,zwischen Cottbus und Vetschau,,1.0,1.0
0091.jpg,08. - 11. August 2024,,1.0,1.0
0091.jpg,immer am 2. August Wochenende,,1.0,1.0
0091.jpg,Limited Booze Boys,,1.0,1.0
0091.jpg,BLIND BANKERS,,1.0,1.0
0091.jpg,Bullshit,,1.0,1.0
0091.jpg,Rock’n’Roll aus Berlin,,1.0,1.0
0091.jpg,NOBODY,NOBODY,0.0,0.0
0091.jpg,Infos: brf-limberg.de,Infos: brf-lmbergde,0.0952,0.5
0093.jpg,KIEZKLUB Rathaus Johannisthal,,1.0,1.0
0093.jpg,"Sterndamm 102, 12487 BERLIN",,1.0,1.0
0093.jpg,im Innenhof,,1.0,1.0
0093.jpg,SOMMERFEST,,1.0,1.0
0093.jpg,Sa 3. Sept. 14–19 Uhr,,1.0,1.0
0093.jpg,"INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN,","INTERESSANTE MARKTSTÄNDE, KINDERSCHMINKEN,",0.0,0.0
0093.jpg,"KINDERBASTELN, HÜPFBURG, TEDDYAMBULANZ","KINDERBASTELN , HÜPFBURG , TEDDYAMBULANZ",0.0526,1.3333
0093.jpg,"GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK","GLASKUNST MIT VORFÜHRUNG, 3D-DRUCK",0.0,0.0
0093.jpg,ESSEN UND TRINKEN,ESSEN UND TRINKEN,0.0,0.0
0093.jpg,"DUO CHARLSON & LUIS (BRA) SAMBA, CHORO, BOSA NOVA","DUO CHARLSON & LUIS (BRA) SAMBA , CHORO, BOSA NOVA",0.0204,0.2222
0093.jpg,HARTMUT HAKER VON TANZBAR BIS SWINGEND,HARTMUT HAKER VON TANZBAR BIS SWINGEND,0.0,0.0
0093.jpg,RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE,RAINER HERZOG VON GESCHICHTE ZU GESCHICHTE,0.0,0.0
0093.jpg,JEDE MENGE KINDERLIEDER,JEDE MENGE KINDERLIEDER,0.0,0.0
0093.jpg,"DIE HOBBYSTEPPER, MONIKAS TANZMIX, DJ","DIE HOBBYSTEPPER , MONIKAS TANZMIX , DJ",0.0541,0.8
0093.jpg,DER CHOR DER FRÖHLICHEN SÄNGER,DER CHOR DER FRÖHLICHEN SÄNGER,0.0,0.0
0093.jpg,VON JOHANNISTHAL,VON JOHANNISTHAL,0.0,0.0
0093.jpg,Der Eintritt ist frei.,,1.0,1.0
0094.jpg,Einladung zur,Ginladung,0.3846,1.0
0094.jpg,Trauerfeier,,1.0,1.0
0094.jpg,für unsere geliebte,,1.0,1.0
0094.jpg,Demokratie,Demakxatie,0.2,1.0
0094.jpg,*1949 - 2020,,1.0,1.0
0094.jpg,26.04.2020,26.042020,0.1,1.0
0094.jpg,12:00 - 19:00,12.00 - 19.00,0.1538,0.6667
0094.jpg,Mariannenplatz,Maannenplatz,0.1429,1.0
0094.jpg,Wir bitten alle Trauergäste nur einzeln,Wi Bitten alle Snauengäste nux einzeln,0.1538,0.6667
0094.jpg,oder zu zweit zu kommen und protest-,ode zu zweit zu Rammen und pnatest-,0.1389,0.4286
0094.jpg,"taugliche Schilder, Transparente und","taugliche Schildex, Snanspwente und",0.1389,0.5
