image,text,confidence,bbox_tl,bbox_tr,bbox_br,bbox_bl
0074.jpg,Null Verschwendung.,0.9046,"[67, 438]","[568, 438]","[568, 510]","[67, 510]"
0074.jpg,Volles Programm_,0.7306,"[65, 507]","[481, 507]","[481, 580]","[65, 580]"
0074.jpg,16. November 2024,0.9836,"[69, 605]","[361, 605]","[361, 643]","[69, 643]"
0074.jpg,Komm,1.0,"[614, 628]","[705, 628]","[705, 664]","[614, 664]"
0074.jpg,13.00-18.00 Uhr,0.806,"[69, 645]","[333, 645]","[333, 681]","[69, 681]"
0074.jpg,vorbei!,0.9727,"[613, 657]","[710, 657]","[710, 697]","[613, 697]"
0074.jpg,"NochMall, Berlin-Reinickendorf",0.9139,"[70, 684]","[516, 684]","[516, 724]","[70, 724]"
0074.jpg,1300,0.9992,"[65, 639]","[164, 639]","[164, 684]","[65, 684]"
0074.jpg,1800 Uhr,0.9794,"[175, 641]","[335, 641]","[335, 683]","[175, 683]"
0074.jpg,FI,0.5195,"[269, 261]","[361, 261]","[361, 321]","[269, 321]"
0060.jpg,poetry,0.4516,"[382, 82]","[755, 82]","[755, 244]","[382, 244]"
0060.jpg,B),0.5442,"[313, 245]","[551, 245]","[551, 457]","[313, 457]"
0060.jpg,B,0.9985,"[625, 256]","[783, 256]","[783, 444]","[625, 444]"
0060.jpg,2 6,0.7913,"[148, 728]","[210, 728]","[210, 784]","[148, 784]"
0060.jpg,Aprit,0.6071,"[249, 690]","[456, 690]","[456, 810]","[249, 810]"
0060.jpg,"20 2 4 ,",0.578,"[470, 703]","[611, 703]","[611, 769]","[470, 769]"
0060.jpg,20.12 UAhr,0.406,"[637, 665]","[954, 665]","[954, 765]","[637, 765]"
0060.jpg,Bvalule,0.4512,"[484, 960]","[656, 960]","[656, 1012]","[484, 1012]"
0060.jpg,B{Ms,0.4488,"[696, 958]","[792, 958]","[792, 1010]","[696, 1010]"
0060.jpg,"Aprit   2024,",0.4969,"[248, 691]","[616, 691]","[616, 812]","[248, 812]"
0060.jpg,das Grosse FInale,0.5848,"[73, 819]","[1013, 819]","[1013, 909]","[73, 909]"
0060.jpg,Eine Kooperation von,0.9999,"[208, 981]","[432, 981]","[432, 1013]","[208, 1013]"
0060.jpg,Kultum_,0.8235,"[784, 974]","[836, 974]","[836, 1004]","[784, 1004]"
0060.jpg,BIB,0.4939,"[303, 243]","[801, 243]","[801, 475]","[303, 475]"
0060.jpg,auf,0.9897,"[773, 1005]","[799, 1005]","[799, 1023]","[773, 1023]"
0060.jpg,BB,0.5093,"[884, 514]","[944, 514]","[944, 544]","[884, 544]"
0060.jpg,2012,0.6377,"[640, 693]","[779, 693]","[779, 761]","[640, 761]"
0128.jpg,Transferale-,0.5711,"[96, 48]","[801, 48]","[801, 184]","[96, 184]"
0128.jpg,Das Wissenschafis-,0.8514,"[41, 187]","[323, 187]","[323, 225]","[41, 225]"
0128.jpg,Fesiival für Klima und,0.5817,"[38, 219]","[350, 219]","[350, 260]","[38, 260]"
0128.jpg,Gesundheit,0.9127,"[42, 254]","[213, 254]","[213, 296]","[42, 296]"
0128.jpg,Zukunft im,0.6752,"[458, 416]","[1038, 416]","[1038, 536]","[458, 536]"
0128.jpg,Stadfumdrehen,0.9352,"[201, 536]","[1038, 536]","[1038, 657]","[201, 657]"
0128.jpg,25.09,0.757,"[807, 679]","[967, 679]","[967, 739]","[807, 739]"
0128.jpg,27.09.2024,0.9463,"[749, 737]","[1039, 737]","[1039, 797]","[749, 797]"
0128.jpg,Zukunft,0.8935,"[71, 761]","[350, 761]","[350, 840]","[71, 840]"
0128.jpg,im Kulfurquartier,0.9496,"[620, 793]","[1040, 793]","[1040, 867]","[620, 867]"
0128.jpg,findet -,0.8171,"[70, 832]","[290, 832]","[290, 910]","[70, 910]"
0128.jpg,silent green,0.9952,"[744, 855]","[1039, 855]","[1039, 922]","[744, 922]"
0128.jpg,Stadt,0.6031,"[153, 903]","[357, 903]","[357, 971]","[153, 971]"
0128.jpg,Das HHochschulnetzwerk,0.9553,"[48, 974]","[358, 974]","[358, 1006]","[48, 1006]"
0128.jpg,für ein resilientes Berlin,0.8806,"[44, 1004]","[348, 1004]","[348, 1036]","[44, 1036]"
0128.jpg,im,1.0,"[624, 800]","[692, 800]","[692, 850]","[624, 850]"
0128.jpg,Kulturquartier,1.0,"[695, 793]","[1040, 793]","[1040, 868]","[695, 868]"
0100.jpg,FAMILIEN-FLOHMARKT,0.9172,"[287, 741]","[976, 741]","[976, 841]","[287, 841]"
0100.jpg,in der,0.9816,"[573, 841]","[665, 841]","[665, 885]","[573, 885]"
0100.jpg,Paul-Schneider-Grundschule,0.9964,"[289, 875]","[864, 875]","[864, 966]","[289, 966]"
0100.jpg,PAULI,0.9876,"[879, 907]","[959, 907]","[959, 949]","[879, 949]"
0100.jpg,10,0.9905,"[610, 966]","[684, 966]","[684, 1038]","[610, 1038]"
0100.jpg,14 Uhr,0.7032,"[709, 961]","[867, 961]","[867, 1029]","[709, 1029]"
0100.jpg,128,0.9766,"[201, 769]","[225, 769]","[225, 783]","[201, 783]"
0100.jpg,10 - 14 Uhr,0.8458,"[614, 962]","[868, 962]","[868, 1036]","[614, 1036]"
0100.jpg,"25,05.24",0.8653,"[292, 969]","[559, 969]","[559, 1061]","[292, 1061]"
0100.jpg,Schneider-6,0.5067,"[867.0794468010066, 869.6953361612078]","[918.776229301882, 839.5823545613272]","[930.9205531989934, 862.3046638387922]","[879.223770698118, 893.4176454386728]"
0100.jpg,1,0.5185,"[917.526087639618, 856.0569593224337]","[932.3087537605472, 845.0239759324978]","[974.473912360382, 900.9430406775663]","[959.6912462394528, 912.9760240675022]"
0100.jpg,4,0.9609,"[838, 772]","[868, 772]","[868, 820]","[838, 820]"
0100.jpg,2,0.4386,"[682, 988]","[708, 988]","[708, 1016]","[682, 1016]"
0100.jpg,FAMILIEN -F,0.6215,"[287, 744]","[678, 744]","[678, 834]","[287, 834]"
0100.jpg,^MI,0.4436,"[333, 745]","[479, 745]","[479, 831]","[333, 831]"
0114.jpg,Sk,0.9962,"[42, 140]","[122, 140]","[122, 194]","[42, 194]"
0114.jpg,2,0.8003,"[192, 520]","[218, 520]","[218, 556]","[192, 556]"
0114.jpg,IN,0.84,"[156, 782]","[336, 782]","[336, 952]","[156, 952]"
0114.jpg,Iyrasi?,0.5422,"[964, 918]","[1072, 918]","[1072, 970]","[964, 970]"
0114.jpg,SA. 15.JULI,0.5338,"[150, 974]","[344, 974]","[344, 1024]","[150, 1024]"
0114.jpg,14.30 UHR THEODOR-HEUSS-PLATZ,0.7415,"[367, 975]","[883, 975]","[883, 1035]","[367, 1035]"
0114.jpg,CA,0.473,"[0, 0]","[205, 0]","[205, 103]","[0, 103]"
0114.jpg,KA,0.4189,"[253, 115]","[391, 115]","[391, 249]","[253, 249]"
0114.jpg,BE,0.9003,"[941, 71]","[1080, 71]","[1080, 269]","[941, 269]"
0114.jpg,4,0.4238,"[456, 326]","[486, 326]","[486, 358]","[456, 358]"
0114.jpg,<,0.8407,"[433, 369]","[471, 369]","[471, 409]","[433, 409]"
0114.jpg,<,0.8842,"[460, 400]","[492, 400]","[492, 436]","[460, 436]"
0114.jpg,<,0.6097,"[442, 446]","[470, 446]","[470, 476]","[442, 476]"
0114.jpg,CA; 1600 UHR - OLYMPIASTADION,0.5155,"[284, 1020]","[680, 1020]","[680, 1073]","[284, 1073]"
0114.jpg,MUSIK,0.9958,"[703, 1033]","[789, 1033]","[789, 1075]","[703, 1075]"
0114.jpg,Cs},0.5437,"[4.179605834099562, 95.04217659076576]","[120.98824780885784, 147.56652918866664]","[92.82039416590044, 207.95782340923424]","[-23.988247808857835, 155.43347081133336]"
0114.jpg,|,0.5595,"[191.86048058404268, 582.0048723518103]","[212.43534774605376, 584.0479568805977]","[201.13951941595732, 728.9951276481897]","[180.56465225394624, 726.9520431194023]"
0114.jpg,M,0.9902,"[402, 54]","[480, 54]","[480, 174]","[402, 174]"
0114.jpg,2,0.6737,"[403, 441]","[423, 441]","[423, 491]","[403, 491]"
0114.jpg,@,0.4222,"[440.2935252745643, 251.0277709869665]","[504.88744297214396, 288.66545926756055]","[442.7064747254357, 395.97222901303354]","[378.11255702785604, 358.33454073243945]"
0114.jpg,9,0.4118,"[134, 162]","[186, 162]","[186, 238]","[134, 238]"
0114.jpg,KRAN,0.4704,"[563, 731]","[903, 731]","[903, 943]","[563, 943]"
0114.jpg,2,0.9654,"[770, 630]","[842, 630]","[842, 706]","[770, 706]"
0114.jpg,4,0.8903,"[497.47906052624865, 250.01941105173154]","[553.7283381985344, 260.0755173831507]","[529.5209394737514, 397.98058894826846]","[473.27166180146554, 387.9244826168493]"
0114.jpg,OLYMPIASTADJON,0.5199,"[474, 1024]","[680, 1024]","[680, 1072]","[474, 1072]"
0114.jpg,RAM,0.7682,"[255.01754419863474, 125.13158148976048]","[490.28281884445954, 97.38998482961905]","[495.9824558013653, 229.8684185102395]","[261.71718115554046, 257.61001517038096]"
0114.jpg,@MP,0.5453,"[417.79907800167763, 281.1588936020131]","[478.03069233026724, 238.4309422568987]","[502.20092199832237, 276.8411063979869]","[441.96930766973276, 319.56905774310127]"
0114.jpg,6,0.7383,"[404.3300922577378, 298.02809786707985]","[465.7587440432824, 308.5692648063752]","[442.6699077422622, 432.97190213292015]","[382.2412559567176, 421.4307351936248]"
0115.jpg,save blank? blank safe!,0.638,"[41, 37]","[339, 37]","[339, 75]","[41, 75]"
0115.jpg,soliparty gegen das klima der angst,0.7683,"[41, 73]","[493, 73]","[493, 115]","[41, 115]"
0115.jpg,slabout blank,0.5189,"[856, 76]","[1042, 76]","[1042, 108]","[856, 108]"
0115.jpg,16.11.2024 ab 20 Uhr,0.816,"[786, 38]","[1043, 38]","[1043, 75]","[786, 75]"
0115.jpg,1,0.5495,"[116, 256]","[476, 256]","[476, 682]","[116, 682]"
0101.jpg,Stolpensteinverlegung,0.5695,"[238, 158]","[825, 158]","[825, 274]","[238, 274]"
0101.jpg,in,0.9999,"[244, 242]","[296, 242]","[296, 290]","[244, 290]"
0101.jpg,Alt-Hohenschönhausen,0.7444,"[292, 235]","[773, 235]","[773, 314]","[292, 314]"
0101.jpg,Musikalische Begleitung; Johann-Vincent Stavinski:,0.4436,"[266, 432]","[693, 432]","[693, 476]","[266, 476]"
0101.jpg,im Standesarnt WIridhuk rait der Nz 63.,0.5894,"[268, 544]","[522, 544]","[522, 568]","[268, 568]"
0101.jpg,bezordus;,0.424,"[727.1723941113976, 677.1792670450748]","[794.9821964697372, 684.7337348025726]","[791.8276058886024, 702.8207329549252]","[724.0178035302628, 694.2662651974274]"
0101.jpg,pad,0.8797,"[733.5857864376269, 923.5857864376269]","[768.6464255718306, 918.8645340883927]","[771.4142135623731, 936.4142135623731]","[736.3535744281694, 941.1354659116073]"
0101.jpg,den 28. Mai 2021 um 17 Uhr_,0.4637,"[360, 100]","[704, 100]","[704, 152]","[360, 152]"
0101.jpg,"Suermondtstraße 46, 13053 Berlin",0.9352,"[249, 304]","[679, 304]","[679, 358]","[249, 358]"
0101.jpg,am 22.12.1878 in Smolensk,0.7898,"[596, 411]","[786, 411]","[786, 437]","[596, 437]"
0101.jpg,Blume Luise Albers,0.9891,"[270, 482]","[406, 482]","[406, 506]","[270, 506]"
0101.jpg,mit dern deutschen Beamten Steu -,0.7917,"[431, 491]","[649, 491]","[649, 511]","[431, 511]"
0101.jpg,ersekretar Oskar Albers verheiratet: Die Eheschließung,0.5238,"[270, 504]","[624, 504]","[624, 532]","[270, 532]"
0101.jpg,L /RS,0.4042,"[703, 545]","[767, 545]","[767, 565]","[703, 565]"
0101.jpg,Das Paar lebte in,0.9926,"[271, 583]","[381, 583]","[381, 601]","[271, 601]"
0101.jpg,Hohenschonhausen,0.9994,"[377, 581]","[510, 581]","[510, 609]","[377, 609]"
0101.jpg,in der Suermondtstra-,0.7561,"[507, 587]","[643, 587]","[643, 603]","[507, 603]"
0101.jpg,Benzug noch 1927 als Baustelle eingetragen;,0.7703,"[268, 622]","[547, 622]","[547, 643]","[268, 643]"
0101.jpg,Suermondt war Mitbegründer der Grunderwerbs- und,0.6415,"[268, 638]","[606, 638]","[606, 662]","[268, 662]"
0101.jpg,bauen ließ und auch,0.7592,"[269, 679]","[401, 679]","[401, 695]","[269, 695]"
0101.jpg,Eigentümer,0.906,"[397, 675]","[478, 675]","[478, 701]","[397, 701]"
0101.jpg,warMit der,0.7178,"[475, 681]","[551, 681]","[551, 697]","[475, 697]"
0101.jpg,Fertigstellung der Wohnungen bezog das,0.8132,"[547, 674]","[794, 674]","[794, 701]","[547, 701]"
0101.jpg,einer Küche. Blume Albers war Hausfrau.,0.9099,"[271, 715]","[523, 715]","[523, 733]","[271, 733]"
0101.jpg,Oskar Albers verstarb am,0.9898,"[269, 749]","[435, 749]","[435, 769]","[269, 769]"
0101.jpg,Oktober 1940 in der gemeinsamen Wohnung laut Urkunde,0.8632,"[447, 745]","[790, 745]","[790, 773]","[447, 773]"
0101.jpg,an emnem Gehirnschlag Frau Luisc Albers war danach bls 1943 Im Berliner Adressbuch,0.6502,"[270, 764]","[778, 764]","[778, 788]","[270, 788]"
0101.jpg,als,0.9999,"[271, 789]","[293, 789]","[293, 803]","[271, 803]"
0101.jpg,Mieterin eingetragen Ist,0.8479,"[290, 786]","[443, 786]","[443, 806]","[290, 806]"
0101.jpg,Blume Albers musste Zwangsarbeit leisten In den Pankower Helmstatten .,0.7408,"[270, 798]","[708, 798]","[708, 823]","[270, 823]"
0101.jpg,Amno September 1943 wurde,0.8071,"[273, 835]","[451, 835]","[451, 856]","[273, 856]"
0101.jpg,Lulse Albers mit dem 96-Alterstransport von dem,0.6096,"[488, 831]","[778, 831]","[778, 856]","[488, 856]"
0101.jpg,Sarmellager Große Hamburger Straße 26 nach Theresienstadt deporticrt;,0.711,"[271, 847]","[706, 847]","[706, 873]","[271, 873]"
0101.jpg,Drei Monate später am 18. Dezember 1943 wurde sie von Theresienstadt nach Ausch -,0.648,"[274, 864]","[764, 864]","[764, 891]","[274, 891]"
0101.jpg,wltz deportlert und dort ermordet,0.781,"[273, 884]","[477, 884]","[477, 903]","[273, 903]"
0101.jpg,Freitag;,0.7062,"[254.184182983552, 87.08407832104957]","[368.9408470192787, 104.31463530099501]","[361.815817016448, 142.9159216789504]","[246.0591529807213, 125.68536469900499]"
0101.jpg,geb.,0.5985,"[556.3358994113244, 411.5038491169865]","[594.1931658047286, 404.95304524892]","[597.6641005886756, 431.4961508830135]","[559.8068341952714, 437.04695475108]"
0101.jpg,War,0.4084,"[405.47000105999683, 490.1520016959949]","[433.9453729816263, 493.6740093166806]","[431.52999894000317, 507.8479983040051]","[403.0546270183737, 504.3259906833194]"
0101.jpg,"Blume Luise Albers g0b. Chassin, ",0.7037,"[266, 394]","[566, 394]","[566, 435]","[266, 435]"
0101.jpg,war Mit der Fertigstellung der Wohnungen bezog das,0.8583,"[474, 674]","[794, 674]","[794, 700]","[474, 700]"
0101.jpg,einer Kuche,0.9137,"[271, 717]","[347, 717]","[347, 733]","[271, 733]"
0101.jpg,Blume Albers war Hausfrau.,0.6743,"[351, 715]","[525, 715]","[525, 733]","[351, 733]"
0101.jpg,Amo,0.9967,"[273, 837]","[313, 837]","[313, 851]","[273, 851]"
0101.jpg,"Sarmellager Große Hamburger Straße 26 ,",0.82,"[271, 847]","[528, 847]","[528, 873]","[271, 873]"
0101.jpg,Blume Luise Alber,0.9683,"[266, 396]","[436, 396]","[436, 426]","[266, 426]"
0101.jpg,"Chassin,",0.9698,"[483, 404]","[565, 404]","[565, 434]","[483, 434]"
0101.jpg,LUISE,0.9827,"[734, 522]","[789, 522]","[789, 551]","[734, 551]"
0101.jpg,war Mitder Fertigstellung der,0.6523,"[475, 679]","[657, 679]","[657, 699]","[475, 699]"
0101.jpg,sie von Theresienstadt nach Ausch-,0.8003,"[561, 867]","[763, 867]","[763, 885]","[561, 885]"
0101.jpg,WILZ,0.83,"[273, 887]","[305, 887]","[305, 899]","[273, 899]"
0101.jpg,den 28. Mai,0.8367,"[361, 101]","[517, 101]","[517, 141]","[361, 141]"
0101.jpg,erfolgte am 2212,0.9811,"[271, 525]","[383, 525]","[383, 545]","[271, 545]"
0101.jpg,In Windhuk (Deutsch-Sudwest-Afrika),0.8433,"[409, 529]","[647, 529]","[647, 549]","[409, 549]"
0101.jpg,an einem Gehlrnschlag Frau Luise Albers war danach bls 1913 Irn,0.5105,"[271, 767]","[657, 767]","[657, 787]","[271, 787]"
0101.jpg,Berliner Adressbuch,0.973,"[655, 762]","[778, 762]","[778, 788]","[655, 788]"
0101.jpg,Blume Albers musste Zwangsarbeit lelsten,0.774,"[271, 802]","[531, 802]","[531, 822]","[271, 822]"
0101.jpg,In den Pankawer Halmstätten;,0.6008,"[527, 794]","[708, 794]","[708, 824]","[527, 824]"
0101.jpg,Drel Morate spater,0.4438,"[274, 866]","[396, 866]","[396, 890]","[274, 890]"
0101.jpg,Suermondt war,0.85,"[269, 641]","[373, 641]","[373, 659]","[269, 659]"
0101.jpg,Mitbegründer der Grunderwerbs- und,0.9268,"[369, 638]","[606, 638]","[606, 662]","[369, 662]"
0101.jpg,Dezember 1943 wurde sie von Theresienstadt nach Ausch -,0.7723,"[431, 864]","[764, 864]","[764, 891]","[431, 891]"
0101.jpg,Hohenschonhausen,0.7966,"[356, 239]","[775, 239]","[775, 314]","[356, 314]"
0101.jpg,Albers verheiratet. Die Eheschließung,0.7261,"[384, 508]","[624, 508]","[624, 532]","[384, 532]"
0101.jpg,Ehepaar Albers Ihre Wohnung,0.8305,"[269, 695]","[459, 695]","[459, 715]","[269, 715]"
0101.jpg,Ibers mIt der 96,0.685,"[533, 837]","[631, 837]","[631, 853]","[533, 853]"
0101.jpg,Alterstransport von dem,0.9957,"[632, 832]","[777, 832]","[777, 852]","[632, 852]"
0101.jpg,"Oskar ,",0.7381,"[343.1401328392153, 504.19427896235214]","[386.9376054089551, 510.50433350003476]","[383.8598671607847, 528.8057210376479]","[340.0623945910449, 522.4956664999653]"
0101.jpg,Smolensk,0.7955,"[709, 411]","[786, 411]","[786, 437]","[709, 437]"
0101.jpg,Eheschließung,0.7899,"[528, 510]","[623, 510]","[623, 531]","[528, 531]"
0101.jpg,mnusste Zwangsarbeit lelsten,0.4991,"[357, 802]","[531, 802]","[531, 821]","[357, 821]"
0101.jpg,~SSIN,0.4557,"[745, 565]","[777, 565]","[777, 577]","[745, 577]"
0101.jpg,1842,0.557,"[771, 587]","[797, 587]","[797, 601]","[771, 601]"
0101.jpg,Am 1o September 1943 wurde Blume Lulse Atbers mit dem $6-Alterstransport von dem,0.4572,"[271, 829]","[778, 829]","[778, 858]","[271, 858]"
0101.jpg,am 22.12.1878 in,0.8429,"[599, 415]","[713, 415]","[713, 435]","[599, 435]"
0101.jpg,Baugesellschalt in Holenschönhausen,0.7532,"[271, 659]","[513, 659]","[513, 679]","[271, 679]"
0101.jpg,a,0.8173,"[280, 938]","[304, 938]","[304, 946]","[280, 946]"
0101.jpg,Albers,0.9624,"[315.4929798734366, 803.1380657848422]","[356.9767443431719, 807.7855927051573]","[355.5070201265634, 821.8619342151578]","[314.0232556568281, 817.2144072948427]"
0101.jpg,Musikalische Begh,0.6254,"[266, 436]","[432, 436]","[432, 472]","[266, 472]"
0101.jpg,Haushau.,0.7052,"[460, 716]","[525, 716]","[525, 734]","[460, 734]"
0101.jpg,gemeinsamen Wohnung lJut Urkunde,0.5822,"[565, 746]","[790, 746]","[790, 772]","[565, 772]"
0101.jpg,dort ermordet,0.6036,"[391, 887]","[473, 887]","[473, 901]","[391, 901]"
0101.jpg,1 ,0.4316,"[459, 493]","[483, 493]","[483, 507]","[459, 507]"
0101.jpg,"1""Sr",0.458,"[269, 545]","[307, 545]","[307, 561]","[269, 561]"
0101.jpg,1e 16,0.4454,"[269, 605]","[309, 605]","[309, 619]","[269, 619]"
0101.jpg,Mai,0.9998,"[461.92942454485564, 101.14592836148023]","[519.7316925201703, 110.55969762379391]","[514.0705754551444, 144.85407163851977]","[455.2683074798297, 135.4403023762061]"
0101.jpg,Hohenschonhausen in der Suermondesl' z -,0.4723,"[380, 585]","[643, 585]","[643, 604]","[380, 604]"
0101.jpg,Sepl,0.4539,"[312.51435706882137, 835.1258427238785]","[339.95202856128526, 839.6939908195869]","[337.48564293117863, 854.8741572761215]","[310.04797143871474, 849.3060091804131]"
0101.jpg,johann-Vmncent Slawinski,0.5751,"[482, 449]","[688, 449]","[688, 474]","[482, 474]"
0101.jpg,1943 wudc si2 von,0.6136,"[497, 871]","[605, 871]","[605, 885]","[497, 885]"
0101.jpg,Jen,0.4058,"[545, 807]","[571, 807]","[571, 819]","[545, 819]"
0101.jpg,1,0.5344,"[384.2025477771711, 444.1658598874935]","[416.9028890371088, 451.3843594291707]","[411.7974522228289, 470.8341401125065]","[379.0971109628912, 463.6156405708293]"
0101.jpg,Uhr,0.8854,"[648, 120]","[700, 120]","[700, 150]","[648, 150]"
0101.jpg,53053 Berlin,0.5068,"[528, 324]","[676, 324]","[676, 354]","[528, 354]"
0101.jpg,',0.8772,"[602, 592]","[624, 592]","[624, 600]","[602, 600]"
0101.jpg,Oskar Albers,0.9875,"[271, 751]","[359, 751]","[359, 770]","[271, 770]"
0129.jpg,#Berlinlstkultur,0.9359,"[36, 41]","[1049, 41]","[1049, 228]","[36, 228]"
0129.jpg,VOLKS,0.8951,"[62, 841]","[260, 841]","[260, 927]","[62, 927]"
0129.jpg,13.11,0.9953,"[364, 858]","[510, 858]","[510, 932]","[364, 932]"
0129.jpg,Brandenburger Tor,0.9941,"[551, 851]","[989, 851]","[989, 943]","[551, 943]"
0129.jpg,10.00,0.8561,"[366, 928]","[510, 928]","[510, 1000]","[366, 1000]"
0129.jpg,Platz des 18. Ilärz,0.632,"[554, 928]","[988, 928]","[988, 1002]","[554, 1002]"
0129.jpg,GEGEI DIE KÜRZUIGEI IMI KULTURBEREICH!,0.6253,"[48, 713]","[1032, 713]","[1032, 794]","[48, 794]"
0129.jpg,BUHNE,0.4853,"[66, 911]","[262, 911]","[262, 995]","[66, 995]"
0129.jpg,DENO,0.5542,"[55, 233]","[1075, 233]","[1075, 707]","[55, 707]"
0129.jpg,13.11.  Brandenburger Tor,0.757,"[362, 851]","[989, 851]","[989, 943]","[362, 943]"
0147.jpeg,Input + Diskussion nach den Bundestagswahlen:,0.9273,"[44, 84]","[1000, 84]","[1000, 140]","[44, 140]"
0147.jpeg,Rassismus; Abschiebung,0.8273,"[39, 128]","[1006, 128]","[1006, 238]","[39, 238]"
0147.jpeg,und Gewalt,0.9334,"[502, 246]","[964, 246]","[964, 320]","[502, 320]"
0147.jpeg,Wehren wir unsl,0.4939,"[341, 340]","[993, 340]","[993, 430]","[341, 430]"
0147.jpeg,0103.,0.5928,"[677, 443]","[793, 443]","[793, 487]","[677, 487]"
0147.jpeg,18.00 Uhr,0.6524,"[813, 443]","[1001, 443]","[1001, 487]","[813, 487]"
0147.jpeg,Komsukeller;,0.9624,"[768, 482]","[994, 482]","[994, 532]","[768, 532]"
0147.jpeg,Kottbusser Straße 4/5,0.9819,"[586, 516]","[1002, 516]","[1002, 568]","[586, 568]"
0147.jpeg,Input,0.9999,"[45, 87]","[162, 87]","[162, 139]","[45, 139]"
0147.jpeg,Diskussion nach den Bundestagswahlen:,0.9925,"[190, 84]","[1000, 84]","[1000, 141]","[190, 141]"
0147.jpeg,ZORA,0.8265,"[862, 1194]","[998, 1194]","[998, 1257]","[862, 1257]"
0147.jpeg,4,0.9458,"[162, 96]","[186, 96]","[186, 122]","[162, 122]"
0147.jpeg,=,0.4208,"[966, 274]","[996, 274]","[996, 306]","[966, 306]"
0061.jpg,Freedom Porade,0.9632,"[401, 13]","[799, 13]","[799, 103]","[401, 103]"
0061.jpg,@nDcDrosten,0.5966,"[579, 199]","[1029, 199]","[1029, 287]","[579, 287]"
0061.jpg,1,0.532,"[0, 489]","[41, 489]","[41, 663]","[0, 663]"
0061.jpg,8,0.9994,"[6, 658]","[38, 658]","[38, 702]","[6, 702]"
0061.jpg,0l.40.2020,0.4113,"[61, 868]","[563, 868]","[563, 993]","[61, 993]"
0061.jpg,Futre,0.4474,"[394.0054100676993, 217.22380429787685]","[582.0966364452837, 203.07005365521317]","[582.9945899323008, 278.7761957021231]","[394.9033635547163, 293.92994634478686]"
0061.jpg,06,0.5928,"[565.489220850799, 884.1439484241548]","[667.2261889014239, 876.9765975908966]","[668.510779149201, 951.8560515758452]","[566.7738110985761, 958.0234024091034]"
0061.jpg,Die Verleihung de roten Clounsnase,0.5479,"[19, 93]","[1080, 93]","[1080, 229]","[19, 229]"
0061.jpg,AO:OOUhr,0.5529,"[680, 868]","[1026, 868]","[1026, 972]","[680, 972]"
0061.jpg,Vorm,0.6791,"[127, 1001]","[296, 1001]","[296, 1068]","[127, 1068]"
0061.jpg,Schloss Belkvve,0.5533,"[323, 961]","[893, 961]","[893, 1074]","[323, 1074]"
0061.jpg,durch Captain,0.5904,"[34, 225]","[407, 225]","[407, 327]","[34, 327]"
0061.jpg,Die Verleihung de roten -,0.5648,"[20, 103]","[737, 103]","[737, 228]","[20, 228]"
0061.jpg,01.40.2020 ab AO:ODUhr,0.4432,"[62, 860]","[1031, 860]","[1031, 996]","[62, 996]"
0061.jpg,Clounsnase,0.97,"[734.063244397113, 90.03995944622193]","[1084.9004655292638, 134.52356806952335]","[1066.936755602887, 228.96004055377807]","[716.0995344707362, 184.47643193047665]"
0061.jpg,2,0.4948,"[5, 387]","[43, 387]","[43, 493]","[5, 493]"
0075.jpg,BlanX-SBahn OStKrevz,0.5657,"[252, 1130]","[787, 1130]","[787, 1207]","[252, 1207]"
0075.jpg,'All,0.5431,"[829, 1093]","[949, 1093]","[949, 1181]","[829, 1181]"
0075.jpg,Kinderdisco,0.6674,"[284.7691882862202, 581.5998895441725]","[572.462741149509, 551.9369929421553]","[575.2308117137799, 624.4001104558275]","[287.53725885049096, 655.0630070578447]"
0075.jpg,:lAbovt,0.4867,"[78.02483573205915, 1156.2844414890012]","[264.4493404974994, 1140.2786019866044]","[265.97516426794084, 1203.7155585109988]","[78.5506595025006, 1218.7213980133956]"
0075.jpg,KIMDERDiSco,0.6813,"[233, 921]","[803, 921]","[803, 1013]","[233, 1013]"
0075.jpg,Agbf,0.489,"[870, 1160]","[1026, 1160]","[1026, 1240]","[870, 1240]"
0075.jpg,1S 6,0.5067,"[485, 529]","[563, 529]","[563, 571]","[485, 571]"
0075.jpg,MY,0.7915,"[284, 544]","[348, 544]","[348, 592]","[284, 592]"
0075.jpg,Heart,0.9965,"[355.25995562830275, 526.2578535733992]","[469.2926945424824, 518.1738038850822]","[470.74004437169725, 570.7421464266008]","[355.7073054575176, 578.8261961149178]"
0075.jpg,Friday %6 AP;L 1400-723,0.4598,"[24, 1047]","[799, 1047]","[799, 1161]","[24, 1161]"
0075.jpg,2 Agbf,0.4134,"[806, 1160]","[1026, 1160]","[1026, 1240]","[806, 1240]"
0075.jpg,"Djs RobertOwenf, Manvel Bürper",0.4004,"[33, 1197]","[797, 1197]","[797, 1294]","[33, 1294]"
0075.jpg,My Heart,0.6889,"[282, 516]","[474, 516]","[474, 594]","[282, 594]"
0075.jpg,(60,0.8785,"[874.1538461538462, 907.7692307692307]","[986.8771776894987, 867.9093398040667]","[1010.8461538461538, 950.2307692307693]","[898.1228223105013, 990.0906601959333]"
0075.jpg,nn,0.645,"[856.1644588494623, 1217.0703072118276]","[968.8995397281071, 1239.0027485509163]","[958.8355411505377, 1285.9296927881724]","[846.1004602718929, 1263.9972514490837]"
0075.jpg,:lAbovt BlanX-SBqhn OstKrevz,0.4371,"[76, 1128]","[787, 1128]","[787, 1220]","[76, 1220]"
